work_id,user_id,title,username,fandoms,rating,warnings,slash_categories,status,date_updated,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
work_10795731,user-2866037,The Songbird and the Sea,maia_archives,['방탄소년단 | Bangtan Boys | BTS'],Mature,['Graphic Depictions Of Violence'],['M/M'],Complete Work,25 Dec 2017,"['Min Yoongi | Suga/Park Jimin', 'Jeon Jungkook/Kim Taehyung | V', 'Kim Namjoon | Rap Monster/Kim Seokjin | Jin']","['Min Yoongi | Suga', 'Park Jimin (BTS)', 'Jeon Jungkook', 'Kim Taehyung | V', 'Kim Namjoon | Rap Monster', 'Kim Seokjin | Jin', 'Jung Hoseok | J-Hope']","['Alternate Universe - Pirates', 'Alternate Universe - Fantasy', 'Action/Adventure', 'Magic', 'Romance', 'Violence', 'Battle Scenes', 'Historical', '-Ish', 'Slow Build', 'Slow Burn', 'Enemies to Lovers', 'Hate to Love', 'First Time', 'Humor', 'Pirate Captain!Yoongi', 'Kidnapped!Jimin', 'First Mate!Namjoon', 'Quartermaster!Taehyung', 'Ship Surgeon!Hoseok', 'Navigator!Jeongguk', 'Ship Cook!Jin', 'Grumpy Min Yoongi | Suga', 'understatement of the year', 'Park Jimin Is a Sweetheart', ""But Park Jimin Don't Take No Shit"", 'Minor Original Character(s)', 'Minor Character Death', 'well that was straightforward of me', 'A Shitload of Plot', 'YO-HO-HO HERE WE GO BITCHES']",No summary,English,255878,34/34,7343,41027,10205,1018797
work_12006417,user-53377,survival is a talent,ShanaStoryteller,['Harry Potter - J. K. Rowling'],Teen And Up Audiences,['Choose Not To Use Archive Warnings'],"['Gen', 'M/M']",Work in Progress,10 May 2022,['Draco Malfoy/Harry Potter'],"['Harry Potter', 'Draco Malfoy', 'Ron Weasley', 'Hermione Granger', 'Blaise Zabini', 'Millicent Bulstrode', 'Lucius Malfoy', 'Narcissa Black Malfoy', 'Ginny Weasley', 'Remus Lupin', 'Sirius Black']","['Soulmate AU', 'Indian Harry Potter', 'Black Hermione Granger', ""canon? i don't know her"", 'Slow Build', 'Lucius Malfoy is a bad person but a good father', 'Parselmouth Harry Potter', 'Smart Draco Malfoy', ""I'm offended that's a tag OF COURSE he's smart"", 'sometimes bad things happen', ""but this fic isn't out to hurt you"", 'Secret Relationship', 'Slytherins and Gryffindors being reluctant friends', 'Plotty']",No summary,English,456184,29/?,12258,40751,13434,1575033
work_2734082,user-2680,Tea and No Sympathy,who_la_hoop,['Harry Potter - J. K. Rowling'],Explicit,['No Archive Warnings Apply'],['M/M'],Complete Work,23 Dec 2014,['Draco Malfoy/Harry Potter'],"['Narcissa Malfoy', 'Lucius Malfoy', 'Hermione Granger', 'Ron Weasley', 'Aberforth Dumbledore', 'Rubeus Hagrid', 'Buckbeak', 'Justin Finch-Fletchley', 'Ernie Macmillan', 'Terence Higgs', 'Minerva McGonagall', 'Giant Squid (Harry Potter)']","['Slow Build', 'Draco-centric', 'Tea Drinking', 'Swearing', 'Muggle London', 'Houses of Parliament', 'Malfoy Manor', 'flangst', 'Family Feels', 'Muggle/Wizard Relations', 'Coming Out', 'Heartfelt Conversations', 'Sarcastic Conversations', 'Owls', 'Competitive Card Games', 'Falling In Love', 'getting drunk', 'Enthusiastic Snogging', 'Hogwarts Castle', 'Sex In The Slytherin Dormitory', 'Frottage', 'Time Travel', 'Time Loop']",No summary,English,70045,11/11,1797,39925,10254,619043
work_24280306,user-7537969,Don't Go,Annacharlier,['She-Ra and the Princesses of Power (2018)'],Teen And Up Audiences,['No Archive Warnings Apply'],['F/F'],Complete Work,20 May 2020,"['Adora/Catra (She-Ra)', 'Bow/Glimmer (She-Ra)']","['Adora (She-Ra)', 'Catra (She-Ra)', 'Glimmer (She-Ra)', 'Bow (She-Ra)', 'Entrapta (She-Ra)', 'Horde Prime (She-Ra)']","['Hurt/Comfort', 'Missing Scene', 'Post-episode: S05Ep05 Save the Cat']",No summary,English,5414,1/1,1278,38798,6902,525903
work_4371455,user-88480,hello goodbye ('twas nice to know you),tamerofdarkstars,['Harry Potter - J. K. Rowling'],Teen And Up Audiences,['No Archive Warnings Apply'],['M/M'],Complete Work,19 Jul 2015,['Draco Malfoy/Harry Potter'],"['Draco Malfoy', 'Harry Potter', 'Blaise Zabini', 'Dean Thomas', 'Seamus Finnigan', 'Ensemble']","['Soulmate-Identifying Marks', 'Alternate Universe - Soulmates', 'finally finished this holy hell', 'Fluff', 'seriously so much fluff', 'Hogwarts Eighth Year', 'Spanish Translation', '中文翻译 | Translation in Chinese', 'Перевод на русский | Translation in Russian']",No summary,English,4807,1/1,433,38762,4967,477827
work_537876,user-36665,Twist and Shout,gabriel,['Supernatural'],Explicit,"['Graphic Depictions Of Violence', 'Major Character Death']","['F/M', 'M/M']",Work in Progress,01 Aug 2014,"['Dean/Castiel', 'Sam/Jess', 'Balthazar/Castiel']","['Dean Winchester', 'Castiel', 'Sam Winchester', 'Balthazar', 'Jessica Moore', 'Adam Milligan', 'Tessa', 'Hester', 'Gabriel', 'Michael', 'Rachel', 'Ash', 'Victor Henriksen']","['DeanCas Big Bang', 'Twist and Shout']",No summary,English,97556,12/?,5454,37322,8851,1365508
work_7331278,user-192807,Hermione Granger's Hogwarts Crammer for Delinquents on the Run,waspabi,['Harry Potter - J. K. Rowling'],Teen And Up Audiences,['No Archive Warnings Apply'],['M/M'],Complete Work,21 May 2017,"['Draco Malfoy/Harry Potter', 'Hermione Granger/Ron Weasley']","['Harry Potter', 'Draco Malfoy', 'Hermione Granger', 'Ron Weasley', 'Luna Lovegood', 'Ginny Weasley', 'Neville Longbottom']","['Pining', 'Humor', 'Hijinks & Shenanigans', 'Alternate Universe - Canon Divergence']",No summary,English,93391,8/8,2797,36831,12672,736599
work_16023554,user-4519395,The Third Option,Uncertainty_Principle,"['Spider-Man - All Media Types', 'Spider-Man: Homecoming (2017)', 'The Avengers (Marvel Movies)', 'Marvel Cinematic Universe']",Mature,['Rape/Non-Con'],"['Gen', 'Other']",Complete Work,27 Jan 2020,"['Ben Parker & Peter Parker', 'May Parker & Peter Parker', 'Tony Stark & Peter Parker']","['Peter Parker', 'Tony Stark', 'Ned Leeds', 'Michelle Jones', 'May Parker', 'Pepper Potts', 'Ben Parker', 'Skip Westcott']","['Hurt/Comfort', 'Emotional Hurt/Comfort', 'Sexual Abuse', 'Emotional Abuse', 'Physical Abuse', 'Alternate Universe', 'Alternate version of CACW and Homecoming', 'previously posted under signofthree', 'signofthree', ""I'm trying to stop systematically dismantling my life but I do it anyway"", 'Hurt Peter Parker', ""he's still a hardcore hero though"", 'unfair depictions of the foster care system', 'most foster parents are angels', 'these are not', 'Secret Identity', 'Identity Reveal', 'Slow Build', 'Disordered Eating']",No summary,English,220960,37/37,9664,36752,9890,645629
work_485218,user-6004,Storm in a Teacup,Faith Wood (faithwood),['Harry Potter - J. K. Rowling'],Mature,['No Archive Warnings Apply'],['M/M'],Complete Work,13 Aug 2012,['Draco Malfoy/Harry Potter'],['Draco Malfoy'],"['Hogwarts Eighth Year', 'Humor', 'Romance']",No summary,English,7954,1/1,445,35901,5652,355159
work_25069339,user-5457283,Cheat Code: Support Strategist,Clouds (myheadinthecoudsnotcomingdown),['僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],Teen And Up Audiences,['No Archive Warnings Apply'],"['F/M', 'Gen']",Complete Work,29 Jan 2022,"['Hatsume Mei & Midoriya Izuku', 'Hatsume Mei/Midoriya Izuku', 'Midoriya Izuku & Nedzu', 'Hatsume Mei & Shinsou Hitoshi', 'Midoriya Izuku & Shinsou Hitoshi', 'Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic', 'Shinsou Hitoshi/Uraraka Ochako']","['Midoriya Izuku', 'Hatsume Mei', 'Shinsou Hitoshi', 'Midoriya Inko', 'Nedzu (My Hero Academia)', 'Aizawa Shouta | Eraserhead', 'Maijima Higari | Power Loader', 'Bakugou Katsuki', 'Class 1-F (My Hero Academia)', 'Shigaraki Tomura | Shimura Tenko', 'Kurogiri (My Hero Academia)', 'Yagi Toshinori | All Might', 'Class 1-A (My Hero Academia)', 'Todoroki Shouto', 'Uraraka Ochako', 'Class 1-B (My Hero Academia)', 'Mineta Minoru', 'Melissa Shield', 'David Shield', 'Kamihara Shinya | Edgeshot']","['Quirkless Midoriya Izuku', 'BAMF Midoriya Izuku', 'Support Department Midoriya Izuku', 'Hacker Midoriya Izuku', 'Slow Burn', 'Analyst Midoriya Izuku', 'Smart Midoriya Izuku', 'Scary Midoriya Izuku', 'USJ', 'Confident Midoriya Izuku', 'Chaotic Midoriya Izuku', 'Chaotic Hatsume Mei', ""She's a bad example"", 'Shinso Hitoshi is along for the ride', 'Traitor Mineta Minoru', 'Uraraka Ochako Has One for All Quirk', 'angry cats', 'Vent Gremlins']",No summary,English,197423,89/89,13852,35860,7014,1499732
