work_id,user_id,title,username,fandoms,rating,warnings,slash_categories,status,date_updated,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
work_6832255,user-18623,Harry Potter and the Avatar's Return,pristineungift,"['Harry Potter - J. K. Rowling', 'Avatar: The Last Airbender', 'Avatar: Legend of Korra']",General Audiences,['Graphic Depictions Of Violence'],['Gen'],Complete Work,12 May 2016,['No Relationship Tags'],"['Harry Potter', 'Tom Riddle | Voldemort', 'Dudley Dursley', 'Petunia Evans Dursley', 'Vernon Dursley', 'Sorting Hat', 'Hermione Granger', 'Ron Weasley', 'Neville Longbottom', 'Minerva McGonagall', 'Albus Dumbledore', 'Scar Horcrux']","['Crossovers & Fandom Fusions', 'Martial Arts', 'Bending (Avatar)', 'Past Lives', 'Alternate Universe', 'BAMF Harry Potter', 'Spiritual', 'Implied/Referenced Child Abuse', 'Pre-Hogwarts', 'Elemental Magic', 'Wandless Magic']","After finding a torn comic in the trash when told to clean Dudley’s room, four year old Harry Potter puts it together with some odd things that have happened around him, and concludes that he’s the Avatar. ",English,9147,1/1,402,6134,1468,54722
work_2704532,user-437078,Our Own Demons,Emmalie22,"['Harry Potter - J. K. Rowling', 'The Avengers (Marvel Movies)', 'The Avengers (Marvel) - All Media Types', 'The Avengers - Ambiguous Fandom', 'Marvel Cinematic Universe', 'Spider-Man: Homecoming (2017)', 'Spider-Man - All Media Types', 'Daredevil (TV)', 'The Defenders (Marvel TV)']",Teen And Up Audiences,['Graphic Depictions Of Violence'],['Other'],Work in Progress,19 Sep 2021,"['Lily Evans Potter/Tony Stark', 'Harry Potter & Tony Stark', 'minor Harry Potter/Peter Parker']","['Tony Stark', 'Harry Potter', 'Lily Potter', 'James Potter', 'Loki (Marvel)', 'Thor (Marvel)', 'Steve Rogers', 'Bruce Banner', 'Natasha Romanov', 'Clint Barton', 'Nick Fury', 'Phil Coulson', 'Death - Character', 'Albus Dumbledore', 'Peter Parker', 'Matt Murdock', 'Stephen Strange']","['Tony Stark Has Issues', 'Parent Tony Stark', 'BAMF Tony Stark', 'BAMF Harry', 'Dark Harry Potter', 'Abused Harry', 'Physical Abuse', 'Past Abuse', 'Implied/Referenced Child Abuse', 'Alcohol Abuse/Alcoholism', 'Additional Warnings Apply', 'Implied/Referenced Rape/Non-con', 'Past Rape/Non-con', 'Smart Harry', 'Angst with a Happy Ending', 'Pseudoscience', 'Magical Realism', 'Runes', 'Powerful Harry', 'Master of Death', 'Tony Stark Needs a Hug', ""This isn't as dark as it sounds"", ""it's about healing"", 'Family', 'Peter Parker Needs a Hug', 'Precious Peter Parker', 'Peter Parker is a Mess', 'Smart Harry Potter', 'Tony Stark Has A Heart']",Tony Stark. Genius. Billionaire. Philanthropist. Ironman. (Reckless. Lonely. Father.),English,124702,25/?,1543,6122,2433,210924
work_3907327,user-123135,There All the Honour Lies,Jessie23,"['Thor (Movies)', 'Harry Potter - J. K. Rowling', 'The Avengers (Marvel Movies)']",General Audiences,['No Archive Warnings Apply'],['M/M'],Complete Work,09 May 2015,['Loki (Marvel)/Harry Potter'],"['Harry Potter', 'Loki (Marvel)', 'Thor (Marvel)', 'Sif (Marvel)', 'Fandral (Marvel)', 'Odin (Marvel)']","['Crossover', 'Racism', 'BAMF Harry Potter', 'Discussion of war']","Harry lets all of Asgard know what he thinks of their views on honour, war and magic.",English,1125,1/1,94,6119,870,57231
work_3969321,user-191264,Endowment,dicta_contrion,['Harry Potter - J. K. Rowling'],Explicit,['No Archive Warnings Apply'],['M/M'],Complete Work,19 May 2015,['Draco Malfoy/Harry Potter'],"['Draco Malfoy', 'Harry Potter']","['Plot What Plot/Porn Without Plot', 'Porn with Feelings', 'First Time Bottoming', 'Oral Sex', 'Anal Sex', 'Anal Fingering', 'Comeplay', 'Dirty Talk']","
  Potter has got under my skin for far too long, in far too many ways. I fully intend to return the favour. 
",English,10834,1/1,278,6114,1119,168331
work_14493711,user-3186048,Antlers and Ivy,violetclarity,['Harry Potter - J. K. Rowling'],Explicit,['No Archive Warnings Apply'],['M/M'],Complete Work,30 Apr 2018,['Draco Malfoy/Harry Potter'],"['Pansy Parkinson', 'Hermione Granger', 'Ron Weasley', 'Lucius Malfoy', 'Narcissa Black Malfoy', 'Harry Potter', 'Draco Malfoy']","['Soulmates', 'Soulmate-Identifying Marks', 'Auror Harry Potter', 'Draco works in the Goblin Liaison Office', 'Masquerade Ball', 'Daily Prophet', 'Explicit Sexual Content', 'Pining']","The thing is, Draco has always known he wouldn’t be able to marry his soulmate. Finding out his soulmate is Harry Potter shouldn’t change anything.",English,19124,6/6,298,6112,1054,66888
work_30789119,user-19986,A Perfect Fit,nothing_left_sacred,['Harry Potter - J. K. Rowling'],Explicit,['No Archive Warnings Apply'],['M/M'],Complete Work,20 Apr 2021,['Draco Malfoy/Harry Potter'],"['Harry Potter', 'Draco Malfoy']","['Plot What Plot/Porn Without Plot', 'Top Harry Potter', 'Bottom Draco Malfoy', 'Werewolf Harry Potter', 'Veela Draco Malfoy', 'Service Top', 'gentle dom harry potter', 'Pillow Princess Draco Malfoy', 'Bearded Harry Potter', 'hung harry', 'Size Queen Draco Malfoy', 'idiots to lovers', 'Light BDSM', 'Kink Negotiation', 'Safe Sane and Consensual', 'Shibari', 'Bondage', 'Breeding', 'Nipple Play', 'Overstimulation', 'Multiple Orgasms', 'Forced Orgasm', 'Prostate Milking', 'Come Eating', 'Rimming', 'Knotting', 'Feminization', 'cervix stimulation', 'Mpreg', 'Size Kink', 'Praise Kink', 'Scent Kink', 'Improbable anatomy']",Harry has had to live his life with the curse of being overly well-endowed.,English,17993,1/1,104,6111,1547,103557
work_33168859,user-10035666,disintegration,moonymoment,['Harry Potter - J. K. Rowling'],Explicit,"['Graphic Depictions Of Violence', 'Choose Not To Use Archive Warnings']","['F/F', 'F/M', 'M/M']",Work in Progress,23 Oct 2022,"['Sirius Black/Remus Lupin', 'Regulus Black/James Potter', 'Marlene McKinnon/Dorcas Meadowes', 'Remus Lupin & Dorcas Meadowes']","['Sirius Black', 'Remus Lupin', 'James Potter', 'Marlene McKinnon', 'Dorcas Meadowes', 'Mary Macdonald', 'Regulus Black', 'Pandora Lovegood', 'Lily Evans']","['Alternate Universe - Vampire', 'Vampire Sirius Black', 'Hunter Remus Lupin', 'First War with Voldemort', ""Except it's Vampires"", 'Enemies to Lovers', 'Dubious Morality', 'unlearning prejudices', 'Character Death', 'Vampire Hunters', 'New York City', 'Arson', 'War', 'Angst', 'Hurt/Comfort', 'Heist', 'reluctant allies', 'Sexual Tension', 'as in Knife to the Throat kind of sexual tension', 'But also', 'Non-Sexual Intimacy', 'BAMF Dorcas Meadowes', ""Sirius Black's Vulnerability Issues"", ""James Potter's Gaggle of Forlorn Supernatural Youths™"", 'Blood Drinking', 'Horcrux Hunting', 'Marlene McKinnon Runs The Order', 'Corruption', 'Sexual Content', 'depictions of ptsd', 'Grief', 'Death', 'I want to re-emphasise this', 'Ppl will die', 'Identity Issues', 'working through trauma', 'Gun Violence', 'Knife Kink', 'Near Death Experiences', 'Suicidal Thoughts', 'Heavy Angst', 'Found Family', 'Minor James Potter/Lily Evans Potter', 'Dissociation', 'Fluff', 'i promise there’s some of that in here too']","Remus stepped into Sirius’ personal space, leaning down and taking out his holy water doused dagger from his pouch. He placed it flat underneath Sirius’ chin, pushing his head up to look him in the eyes. He hissed as the silver burnt him, red and vicious.",English,484533,27/?,2226,6104,2184,362718
work_3942424,user-803708,Stranger in a Familiar Land,MerrickBelle,"['The Avengers (Marvel Movies)', 'Iron Man (Movies)', 'Harry Potter - J. K. Rowling']",Explicit,['Graphic Depictions Of Violence'],"['F/M', 'M/M']",Work in Progress,15 Sep 2019,"['Tony/Others', 'Harry Potter/Tony Stark', 'Past Ginny/Harry', 'Past Tony/Pepper']","['Thor (Marvel)', 'Loki (Marvel)', 'Tony Stark', 'Steve Rogers', 'Clint Barton', 'Natasha Romanov', 'Nick Fury', 'Harry Potter', 'Other Character Tags to Be Added', ""various non canon characters that shouldn't really become at all important"", 'Pepper Potts', 'Phil Coulson', 'James Rhodes', 'Happy Hogan', 'Bruce Banner', 'Death-Enity', 'Jarvis']","['Alternate Universe', 'Adventure & Romance', 'Violence', 'Angst and Humor', 'Angst and Feels', 'Other Additional Tags to Be Added', 'Crossover', 'Crossover Pairings', 'intersex Harry', 'Intersex Alien race', 'Alien Cultural Differences', 'some world building of a fashion', 'wing!fic', ""Howard Stark's Bad Parenting"", 'Past Child Abuse', 'Child Abuse', 'Vague mentions of an eating disorder caused by stress', 'Anal Sex', 'Anal Fingering', 'Anal Play', 'Not for Pepper fans', 'Ginny Bashing', 'BDSM', 'Murder', 'partner infidelity', 'Mentions of drug/alcohol abuse', 'Minor Character Death', 'Canon-Typical Violence']","Tony Stark is a complicated guy with secrets. Despite riches and fame, he has few true friends and little life outside of Iron Man. Which is what everyone seems to want, except Pepper. Pepper hates Iron Man, but he can't change what he is.Harry Potter has no idea what life after death holds, but he can't go back, can't undo what has been done. A new life, new people, and a new world. The only direction is forward, for both of them.",English,224876,22/?,1007,6098,2240,184627
work_11912106,user-1221814,The Difference,elvirakitties,['Harry Potter - J. K. Rowling'],Not Rated,['No Archive Warnings Apply'],"['F/M', 'Other']",Work in Progress,08 Nov 2022,"['James Potter/Lily Evans Potter', 'Harry Potter & Severus Snape']","['James Potter', 'Lily Evans Potter', 'Harry Potter', 'Severus Snape', 'Original Male Character(s)', 'Albus Dumbledore']","['Alternate Universe - Canon Divergence', 'James Potter Lives', 'Lily Evans Potter Lives', 'Severitus', 'Wrong Boy-Who-Lived', 'Lily Evans Potter Bashing', 'Manipulative Albus Dumbledore', 'Good Sirius Black', 'Minor Sirius Black/Remus Lupin', 'Good Severus Snape', 'Parent Severus Snape', 'James Potter Being an Idiot', 'Drugs', 'Suicide Attempt', 'Murder']","This is like all the WBWL, abandoned Harry, but with a twist.",English,42543,21/?,1381,6097,1374,167560
work_9838181,user-397616,Their Beloved Prince,misteeirene,"['Harry Potter - Fandom', 'Twilight']",Explicit,"['Rape/Non-Con', 'Underage']",['M/M'],Work in Progress,29 Dec 2021,"['Harry Potter - Relationship', 'Harry/Emmett', 'Harry/Felix']",['No Character Tags'],"['Abuse', 'Death', 'Child Harry', 'Kidnapping', 'Elemental Harry', 'Bottom Harry']","8 year old Harry Potter is found dying by the Volturi. Taking a chance, Aro decides to turn him and raise him with the help of his brothers. Will Harry turn out to be like all the other immortal children, or will he turn out to be something more?",English,111570,22/?,1194,6096,1574,140925
