work_id,user_id,title,username,fandoms,rating,warnings,slash_categories,status,date_updated,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
work_3686949,user-55406,Leo Inter Serpentes: Fifth Year,Aeternum,['Harry Potter - J. K. Rowling'],Mature,['Underage'],"['F/F', 'F/M', 'M/M', 'Multi']",Complete Work,16 Nov 2015,"['Draco Malfoy/Harry Potter', 'background Hermione Granger/Viktor Krum - Relationship', 'background Sirius Black/Remus Lupin', 'background Narcissa Black Malfoy/Kingsley Shacklebolt', 'background Millicent Bulstrode/Pansy Parkinson', 'background Tracey Davis/Theodore Nott', 'background Daphne Greengrass/Adrian Pucey', 'background Blaise Zabini/everyone', 'Background Blaise Zabini/Ginny Weasley']","['Harry Potter', 'Draco Malfoy', 'Hermione Granger', 'Severus Snape', 'Narcissa Black Malfoy', 'Dobby', 'Sirius Black', 'Remus Lupin', 'Pansy Parkinson', 'Millicent Bulstrode', 'Daphne Greengrass', 'Tracey Davis', 'Theodore Nott', 'Blaise Zabini', 'Neville Longbottom', 'Ginny Weasley', 'Minerva McGonagall', 'Albus Dumbledore', 'Aurora Sinistra', 'Dolores Umbridge', 'Kingsley Shacklebolt', 'Nymphadora Tonks', 'Rubeus Hagrid', 'Fang', 'Hedwig', 'The Weasleys', 'Death Eater(s)', 'Original Female Character(s)', 'Original Male Character(s)', 'Gregory Goyle', 'Vincent Crabbe', 'Luna Lovegood']","['Alternate Universe - Canon Divergence', 'Slytherin Harry', 'Good Slytherins', 'Parseltongue', 'Adoption', 'Everybody has daddy issues', 'Just a fuck load of family drama in general', 'The Slytherins spend much of the year plotting', ""I'm really sorry to any actual toads who may be reading this"", ""I'm sure you're all much nicer than Umbridge"", 'Occlumency is a giant headache to write as well as to learn', 'Minor Character Death']","Voldemort is back and, to make matters worse, the Ministry is denying it, despite all available evidence. As if all of that wasn't bad enough, the new Defence Against the Dark Arts teacher has it in for Harry, and is far more interested in taking him down than in teaching anything remotely useful. What's a Slytherin to do? Why, begin plotting, of course!",English,215738,33/33,3728,11805,726,259689
work_14461941,user-4016694,The Eagle's Nest,HeartOfAspen,['Harry Potter - J. K. Rowling'],Mature,['Choose Not To Use Archive Warnings'],['F/M'],Complete Work,21 Sep 2020,['Hermione Granger/Draco Malfoy'],"['Hermione Granger', 'Draco Malfoy', 'Theodore Nott', 'Harry Potter', 'Ginny Weasley', 'Ron Weasley']","['Harry Potter Epilogue What Epilogue | EWE', 'Alternate Universe - Canon Divergence', 'Ravenclaw Hermione Granger', 'Ravenclaw Draco Malfoy', 'Mentions of Suicide', 'Magic Makes Mischief']","Hermione's eighth year at Hogwarts is already going to be difficult in the aftermath of the war, but is further thrown into upheaval when Headmistress McGonagall orders a re-sorting of all students to promote inter-house unity. But when the Sorting Hat sends Hermione to Ravenclaw with Draco - and without Harry or Ron - how will she cope? [Epilogue? What epilogue?] Prevalent alchemy.",English,292798,71/71,4063,11647,3717,442656
work_5025334,user-88480,chalk this one up as a win,tamerofdarkstars,['Harry Potter - J. K. Rowling'],Teen And Up Audiences,['No Archive Warnings Apply'],['M/M'],Complete Work,18 Oct 2015,['Marcus Flint/Oliver Wood'],"['Marcus Flint', 'Oliver Wood']","['Soulmate-Identifying Marks', 'Alternate Universe - Soulmates', 'Quidditch', 'Fluff', 'Oliver likes Quidditch', 'this was going to be short', 'it turned out not short']",Oliver Wood wakes up in the Hospital Wing a week after his first Quidditch game ever with a head injury and his soulmate's thoughts wound around his left wrist. ,English,6205,1/1,223,11647,1199,133915
work_1793848,user-87440,Spin the Wand,WrittenSins,['Harry Potter - J. K. Rowling'],Teen And Up Audiences,['Choose Not To Use Archive Warnings'],"['F/F', 'M/M']",Complete Work,16 Jun 2014,"['Draco Malfoy/Harry Potter', 'Hermione Granger/Ron Weasley', 'Seamus Finnigan/Dean Thomas', 'Padma Patil/Pansy Parkinson', 'Justin Finch-Fletchley/Blaise Zabini', 'Neville Longbottom/Ginny Weasley', 'and some other pairings that dont matter']",['No Character Tags'],"['Hogwarts Eighth Year', 'Spin the Bottle', 'or well spin the wand', 'kissing in the spirit of inter-house unity']","In the spirit of inter-house unity, the eighth years have a small party. In an attempt to get Harry and Ginny back together, Hermione and Ron come up with the plan of a rigged game of Spin the Wand, but not all goes as planned. ",English,2924,1/1,105,11642,1169,119512
work_18394907,user-4927505,The Left Words,authoresswithoutwords,['Harry Potter - J. K. Rowling'],Mature,['Choose Not To Use Archive Warnings'],['M/M'],Complete Work,29 Feb 2020,"['Harry Potter/Voldemort', 'Harry Potter/Tom Riddle | Voldemort']","['Harry Potter', 'Tom Riddle | Voldemort', 'Albus Dumbledore', 'Draco Malfoy', 'Ron Weasley', 'Hermione Granger', 'Severus Snape', 'Neville Longbottom']","['Slow Burn', 'Alternate Universe - Soulmates', 'Soulmate-Identifying Marks', 'Implied/Referenced Child Abuse', 'Bullying', 'Slytherin Harry Potter', 'Smart Harry', 'Manipulative Albus Dumbledore', 'Suicide Attempt']",Harry has some weird words on his left wrist. That must be one of those strange things that Aunt Petunia hates so much. But it's okay! He likes them.,English,234804,11/11,1078,11639,3377,228965
work_2549801,user-397616,The Stark Truth,misteeirene,"['Harry Potter - Fandom', 'Avengers']",Explicit,"['Graphic Depictions Of Violence', 'Rape/Non-Con', 'Underage']",['M/M'],Complete Work,25 Nov 2021,"['Harry Potter - Relationship', 'Avenger - Relationship', 'Harry/Fred/George']","['Harry Potter', 'Tony Stark']","['Slash', 'Mpreg', 'Abuse', 'Rape', 'Cutting', 'Language', 'Attempted Suicide', 'harry/Fred/George - Freeform']","Summer after 4th year Harry learns that James isn't exactly is father and Lily isn't his mother. Will his newly discovered family be able to help him recover from his violent, abusive childhood? Will he be able to trust again enough to find love?",English,216426,30/30,2626,11570,3286,362348
work_16435904,user-287005,"yer a wizard, dudley",dirgewithoutmusic,['Harry Potter - J. K. Rowling'],Teen And Up Audiences,['Major Character Death'],['Gen'],Complete Work,28 Oct 2018,"['Dudley Dursley & Piers Polkiss', 'Dudley Dursley & Nymphadora Tonks', 'Dudley Dursley & Percy Weasley', 'Dudley Dursley & Hagrid']","['Dudley Dursley', 'Harry Potter', 'Minerva McGonagall', 'Nymphadora Tonks', 'Filius Flitwick', 'Moaning Myrtle', 'Penelope Clearwater', 'Cedric Diggory', 'Cho Chang', 'Rubeus Hagrid']","['Dudley goes to Hogwarts', ""I don't know why I did it either folks""]","Harry Potter spent his eleventh birthday in a cabin on a tiny rock in the middle of the sea, listening to his cousin snore on the couch.",English,21860,1/1,718,11565,2068,98035
work_791599,user-109552,That Old Black Magic,fallovermelikestars,['Harry Potter - J. K. Rowling'],Mature,['Choose Not To Use Archive Warnings'],['M/M'],Complete Work,10 May 2013,"['Sirius Black/Remus Lupin', 'Lily Evans/James Potter']","['Remus Lupin', 'Sirius Black', 'James Potter', 'Peter Pettigrew', 'Lily Evans', 'Regulus Black']","[""Marauders' Era""]","AU in which Remus, being as he is a werewolf and all, is homeschooled til he is 16. ",English,36775,1/1,260,11545,2688,179955
work_20750912,user-1638176,Sweater Weather,lumosinlove,"['Harry Potter - J. K. Rowling', 'Sweater Weather - Lumosinlove']",Explicit,['Choose Not To Use Archive Warnings'],['M/M'],Complete Work,13 May 2021,"['Sirius Black/Remus Lupin', ""Leo Knut/Finn O'Hara/Logan Tremblay (lumosinlove)""]","['Sirius Black', 'Remus Lupin', 'James Potter', 'Lily Evans Potter', 'Regulus Black', 'Logan Tremblay (lumosinlove)', 'Leo Knut (lumosinlove)', ""Finn O'Hara (lumosinlove)""]","['Hockey AU', 'hockey player sirius black', 'Angst', 'Fluff', 'Smut', 'Sexual Content', 'Blow Jobs', 'Anal Sex', 'Semi-Public Sex', 'falling in looovveee', 'PT Remus Lupin', 'regulus is alive', 'and i love him', 'Original Characters - Freeform', 'Found Family']","Remus works for the Gryffindor Lions as a physical trainer, and has been half in love with Sirius Black, the Lions' heartthrob captain, for a while now, but he never expected Sirius to return the feelings. Read if you like cute nicknames, slow burn, and pining. Yep. That's it.",English,156108,23/23,1959,11535,3393,494524
work_1104020,user-7388,He Who Must Not Be Normal,lettered,['Harry Potter - J. K. Rowling'],Explicit,['No Archive Warnings Apply'],['M/M'],Complete Work,31 Dec 2013,['Draco Malfoy/Harry Potter'],['Harry Potter'],['No Freeform Tags'],"Potter has fame and fortune and posh clothes and all he wants is a simple life.  Draco has a flat and a cat and a steady job and all he wants is a complicated life.  Which makes you think this story has something exciting like body-swapping, but it doesn’t.  Instead it has Indian takeaway and a blue jumper and people wanting a whole lot of what they can’t have, discovering themselves as they discover each other.",English,40913,1/1,507,11495,2890,207251
