work_id,user_id,title,username,fandoms,rating,warnings,slash_categories,status,date_updated,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
work_14600361,user-1554475,Expectant,loveglowsinthedark,['Harry Potter - J. K. Rowling'],Explicit,['No Archive Warnings Apply'],['M/M'],Complete Work,16 May 2018,['Draco Malfoy/Harry Potter'],"['Harry Potter', 'Draco Malfoy', 'Ron Weasley', 'Hermione Granger', 'Ginny Weasley', 'Lucius Malfoy', 'Narcissa Malfoy', 'Kreacher (Harry Potter)']","['Mpreg', 'Veela Draco', 'Werewolf Harry', 'Pregnant Draco', 'Down and Out Draco', 'Accidental/Spontaneous Pregnancy', 'Alpha Harry Potter', 'Anal Sex', 'Anal Fingering', 'Oral Sex', 'Blowjobs', 'Rimming', 'Knotting', 'Sex while pregnant', 'Possessive Harry', 'Getting Together', 'Living Together', 'Falling In Love', 'UST', 'Mild Angst', 'HEA', 'Parents Drarry', 'Healer Hermione Granger', 'Auror Ron Weasley', 'Chaser Ginny Weasley', 'Quidditch Coach Harry Potter', 'Consulting Auror Harry Potter']",No summary,English,62460,1/1,622,15907,3824,300208
work_20644262,user-74135,snipers solve 99% of all problems,silentwalrus,"['Fullmetal Alchemist - All Media Types', 'Harry Potter - J. K. Rowling']",Mature,['No Archive Warnings Apply'],['Gen'],Work in Progress,20 Aug 2022,['No Relationship Tags'],"['Edward Elric', 'Alphonse Elric', 'Mei Chan | May Chang', 'Riza Hawkeye', 'Roy Mustang', 'Albus Dumbledore', 'Alastor ""Mad-Eye"" Moody', 'Harry Potter', 'Hermione Granger', 'Remus Lupin', 'Maes Hughes', 'Sirius Black', 'Dudley Dursley', 'Ron Weasley', 'Ginny Weasley', 'Jean Havoc', 'The Dursleys', 'Amelia Bones', 'Bill Weasley', 'Kreacher (Harry Potter)', 'Aberforth Dumbledore']","['Crossover', 'Humor', 'Post-FMA Canon', 'Harry Potter 5th Year', 'Nobody’s Going To Hogwarts', 'Me sprinting down the highway while snorting coke off my hand', 'i just need to get this out of my system', 'Oh yeah Maes Hughes lives bc i said so', 'Ed: what the fuck do you mean you have ELVES and SLAVERY', 'also ed: lol ya i joined the military when i was 12', 'Voldemort is the one percent', 'Dementors', ""If you're a science person come correct me"", 'do not repost to another site', 'The Edward Elric Mortal Combat School of Trauma Therapy', 'Ed Says Fuck']",No summary,English,254070,85/?,16820,15804,4878,619377
work_28534965,user-4758,Redivider,Vichan,['Harry Potter - J. K. Rowling'],Mature,"['Graphic Depictions Of Violence', 'Major Character Death']","['F/M', 'M/M']",Work in Progress,27 May 2022,"['Draco Malfoy/Harry Potter', 'Draco Malfoy & Harry Potter', 'Hermione Granger & Harry Potter', 'Harry Potter & Andromeda Black Tonks', 'Harry Potter & Blaise Zabini', 'Pansy Parkinson & Harry Potter', 'Sirius Black & Harry Potter', 'Albus Dumbledore & Harry Potter', 'Harry Potter & Ron Weasley', 'Hermione Granger & Blaise Zabini']","['Harry Potter', 'Draco Malfoy', 'Hermione Granger', 'Blaise Zabini', 'Andromeda Black Tonks', 'Pansy Parkinson', 'Theodore Nott', 'Daphne Greengrass', 'Sirius Black', 'Ron Weasley', 'Albus Dumbledore']","['Slytherin Harry Potter', 'Dark Harry Potter', 'Dark Harry', 'Dark Arts', 'Bigotry & Prejudice', 'Other Additional Tags to Be Added']",No summary,English,75636,12/?,3247,15714,3977,335790
work_922767,user-55406,Leo Inter Serpentes: First Year,Aeternum,['Harry Potter - J. K. Rowling'],Teen And Up Audiences,['No Archive Warnings Apply'],['Gen'],Complete Work,14 Oct 2013,['No Relationship Tags'],"['Harry Potter', 'Draco Malfoy', 'Hermione Granger', 'Severus Snape', 'Blaise Zabini', 'Theodore Nott', 'Pansy Parkinson', 'Daphne Greengrass', 'Tracey Davis', 'Millicent Bulstrode', 'Neville Longbottom', 'Rubeus Hagrid', 'Original Female Character(s)', 'Original Male Character(s)', 'Hedwig', 'Fang', 'Minerva McGonagall', 'Quirinus Quirrell']","['Alternate Universe - Canon Divergence', 'Slytherin Harry', 'Good Slytherins']",No summary,English,50270,11/11,1349,15712,1894,430812
work_2430569,user-102887,Hopeless,OfficialStarsandGutters,['Harry Potter - J. K. Rowling'],General Audiences,['No Archive Warnings Apply'],['M/M'],Complete Work,09 Oct 2014,['Sirius Black/Remus Lupin'],"['Sirius Black', 'Remus Lupin', 'James Potter']",['No Freeform Tags'],No summary,English,2524,1/1,206,15672,1640,137290
work_689909,user-49058,The Spellmaker,SonnyGietzel,['Harry Potter - J. K. Rowling'],Mature,['Graphic Depictions Of Violence'],"['M/M', 'Gen']",Work in Progress,20 May 2020,"['Harry Potter/Tom Riddle', 'Harry Potter/Voldemort']","['Harry Potter', 'Tom Riddle', 'Voldemort', 'Albus Dumbledore', 'Lucius Malfoy', 'Draco Malfoy', 'Severus Snape', 'Blaise Zabini', 'Dolores Umbridge', 'Fleur Delacour', 'Pansy Parkinson', 'Ginny Weasley']","['Latin', 'Science', 'War', 'Politics', 'Not Canon Compliant', 'Dark!Harry', 'Moral Ambiguity', 'Psychopathology & Sociopathy', 'Disturbing Themes', 'Unreliable Narrator']",No summary,English,166726,24/?,2279,15565,5747,389009
work_586020,user-92712,All Hallow's Eve - New York,WhisperingDarkness,"['Harry Potter - J. K. Rowling', 'The Avengers (2012)', 'Marvel', 'Marvel Cinematic Universe']",Teen And Up Audiences,['No Archive Warnings Apply'],['Gen'],Complete Work,26 Oct 2012,['No Relationship Tags'],"['Harry Potter', 'Steve Rogers', 'Tony Stark', 'Bruce Banner', 'Clint Barton', 'Natasha Romanov', 'Thor (Marvel)', 'Generic Evil Villain']","['Crossover', 'Master of Death', 'Halloween', 'Summoning', 'Mistaken Identity', 'Sort Of', 'Humour']",No summary,English,1698,1/1,191,15457,2342,131713
work_9848264,user-2693,Dearly Beloved,prosodiical,['Fantastic Beasts and Where to Find Them (Movies)'],Teen And Up Audiences,['No Archive Warnings Apply'],['M/M'],Complete Work,03 Mar 2017,['Original Percival Graves/Newt Scamander'],"['Tina Goldstein', 'Original Percival Graves', 'Newt Scamander']","['POV Outsider', 'Alternate Universe - Canon Divergence', 'Fix-It', 'Established Relationship', 'Minor Queenie Goldstein/Jacob Kowalski', 'Credence Barebone Lives']",No summary,English,11547,1/1,337,15376,4302,137627
work_14469255,user-4076802,Let's Try Again,DayDreamer315,['Harry Potter - J. K. Rowling'],Explicit,['Choose Not To Use Archive Warnings'],['Multi'],Complete Work,01 Nov 2019,"['James Potter/Severus Snape', 'Sirius Black/Remus Lupin', 'Harry Potter/Fred Weasley/George Weasley']","['James Potter', 'Sirius Black', 'Harry Potter', 'Albus Dumbledore']","['Time Travel Fix-It', 'Potter Luck', 'Dumbledore Bashing', 'Selective Weasley Bashing', 'Hermione Granger Bashing', 'Ron Weasley Bashing', 'Molly Weasley Bashing', 'Ginny Weasley Bashing', 'Lily Evans Potter Bashing']",No summary,English,618096,29/29,2096,15355,5173,844721
work_24779923,user-7624795,Another Mind Game,May_May_0_0,['Harry Potter - J. K. Rowling'],Teen And Up Audiences,['No Archive Warnings Apply'],"['M/M', 'Other']",Complete Work,26 Oct 2020,"['Harry Potter & Severus Snape', 'Draco Malfoy/Harry Potter', 'Hermione Granger/Ron Weasley']","['Neville Longbottom', 'Luna Lovegood', 'Minerva McGonagall', 'Albus Dumbledore', 'Severus Snape', 'Harry Potter', 'Ron Weasley', 'Hermione Granger', 'Fred Weasley', 'George Weasley', 'pretty much everyone else too because why not?', 'House-Elves (Harry Potter)']","['Child Abuse', 'Mentor Severus Snape', 'Strong Harry Potter', 'Sassy Harry Potter', 'Slow Burn', 'Fluff and Angst', 'Albus Dumbledore Bashing', 'not terribly but a bit', 'He gets better', 'Magically Powerful Harry Potter', 'Snape becomes more OOC overtime', 'slow burn severitis', 'Crack Treated Seriously', ""I mean it's kinda crack"", 'but only sometimes', 'Implied/Referenced Child Abuse', 'Severus Snape Adopts Harry Potter', ""but it's kinda low-key"", 'and sometimes high-key', 'So there!', 'presumed suicidal', 'protective hogwarts', 'Abusive Dursley Family (Harry Potter)']",No summary,English,54012,17/17,1684,15198,4037,268810
