work_id,user_id,title,username,fandoms,rating,warnings,slash_categories,status,date_updated,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
work_10057010,user-2878526,All the Young Dudes,MsKingBean89,['Harry Potter - J. K. Rowling'],Mature,"['No Archive Warnings Apply', 'Major Character Death', 'Graphic Depictions Of Violence']",['M/M'],Complete Work,12 Nov 2018,"['Sirius Black/Remus Lupin', 'Sirius Black & Remus Lupin', 'James Potter/Lily Evans Potter']","['Remus Lupin', 'Sirius Black', 'James Potter', 'Lily Evans Potter', 'Peter Pettigrew', 'Severus Snape', 'Minerva McGonagall', 'Bellatrix Black Lestrange', 'Narcissa Black Malfoy', 'Albus Dumbledore', 'Mulciber Sr. (Harry Potter)', 'Horace Slughorn', 'Mary Macdonald', 'Marlene McKinnon', 'Poppy Pomfrey', 'Walburga Black', 'Regulus Black', 'Fenrir Greyback']","[""Marauders' Era"", 'Marauders', 'Marauders Friendship', 'wolfstar', 'Get Together', 'Slow Burn', 'so slow', ""it's slow"", 'seriously', 'Complete', 'Canon Compliant', 'Angst', 'Fluff', 'Fluff and Angst', 'Requited Love', 'Canonical Character Death', 'First War with Voldemort', 'First Kiss']",No summary,English,526969,188/188,27169,124397,25314,8470550
work_234222,user-6004,Then Comes a Mist and a Weeping Rain,Faith Wood (faithwood),['Harry Potter - J. K. Rowling'],Explicit,['No Archive Warnings Apply'],['M/M'],Complete Work,04 Aug 2011,['Draco Malfoy/Harry Potter'],"['Harry Potter', 'Draco Malfoy', 'Gregory Goyle', 'Millicent Bulstrode', 'Ernie Macmillan', 'Hermione Granger', 'Ron Weasley']","['Humor', 'Romance', 'Hogwarts Eighth Year', 'HP: EWE', 'Post - Deathly Hallows']",No summary,English,21139,1/1,926,53363,10371,637901
work_14454174,user-3861138,Manacled,senlinyu,['Harry Potter - J. K. Rowling'],Explicit,"['Rape/Non-Con', 'Graphic Depictions Of Violence']",['F/M'],Complete Work,19 Aug 2019,['Hermione Granger/Draco Malfoy'],"['Hermione Granger', 'Draco Malfoy', 'Dolores Umbridge', 'Tom Riddle | Voldemort', 'Astoria Greengrass', 'Graham Montague', 'Severus Snape']","['Post-War', 'Harry Potter Dies', 'Alternate Universe - Voldemort Wins', 'Forced Pregnancy', 'Imprisonment', 'Death Eater Draco Malfoy', 'Minor Character Death', 'Memory Loss', 'Rape/Non-con Elements', 'Eventual Romance', 'Battle', 'Rape', 'Mystery', 'Healer Hermione Granger', 'Self-Harm', 'Flashbacks', 'Slow Build', 'Angst with a Happy Ending', 'Slow Build Draco Malfoy/Hermione Granger']",No summary,English,370515,77/77,11003,45088,12911,2823008
work_3101099,user-276513,The Standard You Walk Past,bafflinghaze,['Harry Potter - J. K. Rowling'],Mature,['No Archive Warnings Apply'],['M/M'],Complete Work,12 Mar 2015,['Draco Malfoy/Harry Potter'],"['Draco Malfoy', 'Harry Potter', 'Hermione Granger', 'Ron Weasley', 'Narcissa Black Malfoy', 'Pansy Parkinson', 'Mentions of many characters']","['Hogwarts Eighth Year', 'Some Homophobia in the Wizarding World', 'Romance', 'Friends to Lovers', 'Fluff', 'flangst', 'Angst', 'SO MUCH FLUFF', 'And a bit of sap', 'Legilimency', 'Dreams and Nightmares', 'Slow Build', 'Prejudice Against Slytherins', 'Roommates', 'Redeemed Draco Malfoy', 'Minor Hermione Granger/Ron Weasley']",No summary,English,46202,14/14,3046,42191,8185,665342
work_12006417,user-53377,survival is a talent,ShanaStoryteller,['Harry Potter - J. K. Rowling'],Teen And Up Audiences,['Choose Not To Use Archive Warnings'],"['Gen', 'M/M']",Work in Progress,10 May 2022,['Draco Malfoy/Harry Potter'],"['Harry Potter', 'Draco Malfoy', 'Ron Weasley', 'Hermione Granger', 'Blaise Zabini', 'Millicent Bulstrode', 'Lucius Malfoy', 'Narcissa Black Malfoy', 'Ginny Weasley', 'Remus Lupin', 'Sirius Black']","['Soulmate AU', 'Indian Harry Potter', 'Black Hermione Granger', ""canon? i don't know her"", 'Slow Build', 'Lucius Malfoy is a bad person but a good father', 'Parselmouth Harry Potter', 'Smart Draco Malfoy', ""I'm offended that's a tag OF COURSE he's smart"", 'sometimes bad things happen', ""but this fic isn't out to hurt you"", 'Secret Relationship', 'Slytherins and Gryffindors being reluctant friends', 'Plotty']",No summary,English,456184,29/?,12281,40948,13512,1591176
work_2734082,user-2680,Tea and No Sympathy,who_la_hoop,['Harry Potter - J. K. Rowling'],Explicit,['No Archive Warnings Apply'],['M/M'],Complete Work,23 Dec 2014,['Draco Malfoy/Harry Potter'],"['Narcissa Malfoy', 'Lucius Malfoy', 'Hermione Granger', 'Ron Weasley', 'Aberforth Dumbledore', 'Rubeus Hagrid', 'Buckbeak', 'Justin Finch-Fletchley', 'Ernie Macmillan', 'Terence Higgs', 'Minerva McGonagall', 'Giant Squid (Harry Potter)']","['Slow Build', 'Draco-centric', 'Tea Drinking', 'Swearing', 'Muggle London', 'Houses of Parliament', 'Malfoy Manor', 'flangst', 'Family Feels', 'Muggle/Wizard Relations', 'Coming Out', 'Heartfelt Conversations', 'Sarcastic Conversations', 'Owls', 'Competitive Card Games', 'Falling In Love', 'getting drunk', 'Enthusiastic Snogging', 'Hogwarts Castle', 'Sex In The Slytherin Dormitory', 'Frottage', 'Time Travel', 'Time Loop']",No summary,English,70045,11/11,1799,40109,10303,623100
work_4371455,user-88480,hello goodbye ('twas nice to know you),tamerofdarkstars,['Harry Potter - J. K. Rowling'],Teen And Up Audiences,['No Archive Warnings Apply'],['M/M'],Complete Work,19 Jul 2015,['Draco Malfoy/Harry Potter'],"['Draco Malfoy', 'Harry Potter', 'Blaise Zabini', 'Dean Thomas', 'Seamus Finnigan', 'Ensemble']","['Soulmate-Identifying Marks', 'Alternate Universe - Soulmates', 'finally finished this holy hell', 'Fluff', 'seriously so much fluff', 'Hogwarts Eighth Year', 'Spanish Translation', '中文翻译 | Translation in Chinese', 'Перевод на русский | Translation in Russian']",No summary,English,4807,1/1,435,38985,5012,480369
work_7331278,user-192807,Hermione Granger's Hogwarts Crammer for Delinquents on the Run,waspabi,['Harry Potter - J. K. Rowling'],Teen And Up Audiences,['No Archive Warnings Apply'],['M/M'],Complete Work,21 May 2017,"['Draco Malfoy/Harry Potter', 'Hermione Granger/Ron Weasley']","['Harry Potter', 'Draco Malfoy', 'Hermione Granger', 'Ron Weasley', 'Luna Lovegood', 'Ginny Weasley', 'Neville Longbottom']","['Pining', 'Humor', 'Hijinks & Shenanigans', 'Alternate Universe - Canon Divergence']",No summary,English,93391,8/8,2798,37020,12729,741872
work_20049589,user-4758,Evitative,Vichan,['Harry Potter - J. K. Rowling'],Teen And Up Audiences,['No Archive Warnings Apply'],['M/M'],Complete Work,17 Feb 2020,"['Draco Malfoy/Harry Potter', 'Hermione Granger & Harry Potter', 'Sirius Black & Harry Potter', 'Pansy Parkinson & Harry Potter', 'Draco Malfoy & Harry Potter', 'Harry Potter & Blaise Zabini']","['Harry Potter', 'Draco Malfoy', 'Hermione Granger', 'Sirius Black', 'Pansy Parkinson', 'Blaise Zabini', 'Theodore Nott', 'Daphne Greengrass']","['Slytherin Harry Potter', 'Dark Arts', 'Hogwarts Fifth Year', 'Dark Harry Potter', 'Slytherins Being Slytherins', 'Alternate Hogwarts House Sorting', 'Re-Sorting', 'Dark Magic', 'Slow Burn', 'Slytherin Pride', 'Protective Slytherins', 'Pureblood Politics (Harry Potter)']",No summary,English,222453,29/29,5467,36103,10396,939335
work_485218,user-6004,Storm in a Teacup,Faith Wood (faithwood),['Harry Potter - J. K. Rowling'],Mature,['No Archive Warnings Apply'],['M/M'],Complete Work,13 Aug 2012,['Draco Malfoy/Harry Potter'],['Draco Malfoy'],"['Hogwarts Eighth Year', 'Humor', 'Romance']",No summary,English,7954,1/1,446,36094,5690,356920
work_3171550,user-203828,Running on Air,eleventy7,['Harry Potter - J. K. Rowling'],Teen And Up Audiences,['No Archive Warnings Apply'],['Multi'],Complete Work,25 Dec 2014,"['Draco Malfoy/Harry Potter', 'Harry/Ginny', 'past Draco/Astoria']","['Draco Malfoy', 'Harry Potter', 'Hermione Granger', 'Ron Weasley', 'Astoria Greengrass', 'Ginny Weasley']","['Mystery', 'Drama', 'Friendship', 'Slow Burn']",No summary,English,74875,17/17,3614,34681,11665,662272
work_1227880,user-211835,All Our Secrets Laid Bare,firethesound,['Harry Potter - J. K. Rowling'],Explicit,['Choose Not To Use Archive Warnings'],['M/M'],Complete Work,23 Feb 2014,"['Draco Malfoy/Harry Potter', 'Hermione Granger/Ron Weasley', 'Harry Potter/Original Male Character(s)']","['Draco Malfoy', 'Harry Potter', 'Ron Weasley', 'Hermione Granger', 'Original Male Character(s)', 'Original Female Character(s)', 'Lucius Malfoy', 'Narcissa Black Malfoy', 'Kingsley Shacklebolt']","['Auror Partners', 'Sexual Content', 'Wandless Magic', 'Mystery', 'Investigations', 'Magical Tattoos', 'Getting Together', 'Trapped', 'Secrets', 'Secret Relationship', 'Shower Sex', 'First Time', 'Loss of Virginity', 'Blow Jobs', 'Office Sex', 'Duelling', 'Falling In Love', 'Hats', 'Glasses', 'Curry', 'Tea', 'Bars and Pubs']",No summary,English,149549,16/16,3150,34362,10746,797979
work_1651109,user-149808,Text Talk,merlywhirls,['Harry Potter - J. K. Rowling'],Not Rated,"['Choose Not To Use Archive Warnings', 'No Archive Warnings Apply']",['No category'],Complete Work,31 Dec 2015,"['Sirius Black/Remus Lupin', 'wolfstar - Relationship']","['Sirius Black', 'Remus Lupin', 'James Potter', 'Peter Pettigrew', 'Moony', 'Wormtail', 'Padfoot', 'Prongs', 'Lily Evans', 'Lily Potter', 'Alice Longbottom', 'Frank Longbottom']","['text', 'Texting', 'text fic', 'Hospital', 'Boarding School', 'MWPP', 'Marauders era', 'The Marauders - Freeform', 'Maurders AU', 'AU', 'Alternate Universe', 'Modern AU', 'texting fic', 'School', 'Injury', 'Mention of family abuse', 'mention of depression', 'family stuff', 'Parents', 'Illness', 'Homophobic Slurs']",No summary,English,141250,14/14,3234,33853,8238,758277
work_15087428,user-2029570,Harry Potter and the Greatest Show,shadowscribe,['Harry Potter - J. K. Rowling'],Mature,['Choose Not To Use Archive Warnings'],['M/M'],Work in Progress,26 Jul 2022,"['Harry Potter/Tom Riddle', 'Harry Potter/Tom Riddle | Voldemort']","['Harry Potter', 'Albus Dumbledore', 'Tom Riddle | Voldemort', 'Sirius Black', 'Remus Lupin', 'Ron Weasley', 'Hermione Granger', 'Severus Snape', 'Draco Malfoy', 'Neville Longbottom', 'Hannah Abbott', 'Susan Bones', 'Blaise Zabini', 'Mandy Brocklehurst']","['do not copy to another site', 'Time Travel', 'Master of Death Harry Potter', 'Slytherin Harry Potter', 'Harry living his own life', 'Harry has no idea what he is doing', 'but he tries', 'Moral Ambiguity', 'Gray Harry', 'Neutral Harry', 'Manipulative Albus Dumbledore', 'but he also tries', 'it just doesnt work out the way he wants', 'Slytherins are people too', 'Work In Progress', 'irregular updates', 'Post-Traumatic Stress Disorder - PTSD', 'Implied/Referenced Child Abuse', 'Magically Powerful Harry Potter', 'Paganism', 'Pagan Festivals', 'papa snape', 'Slow Burn', 'But does it count as slow burn if we are just waiting for Harry to grow up', 'no beta we die like men', 'monstrously long fic', 'seriously', 'the sort of fic where you sink up to your eyeballs and marinate for a while', 'it is 120k words before Harry and Tom even talk', 'this started out as crack but then it got serious']",No summary,English,177701,25/?,6559,32388,10244,874772
work_1439476,user-6004,An Issue of Consequence,Faith Wood (faithwood),['Harry Potter - J. K. Rowling'],Explicit,['No Archive Warnings Apply'],['M/M'],Complete Work,15 Apr 2014,['Draco Malfoy/Harry Potter'],"['Draco Malfoy', 'Harry Potter', 'Blaise Zabini', 'Pansy Parkinson']","['HP: EWE', 'Hogwarts Eighth Year', 'Romance', 'Mystery', 'Humor', 'Explicit Sexual Content']",No summary,English,20798,5/5,655,32347,5637,495870
