work_id,user_id,title,username,fandoms,rating,warnings,slash_categories,status,date_updated,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
work_15760950,user-31788,Hell is Your Son from Another Dimension,wynnebat,['Harry Potter - J. K. Rowling'],Teen And Up Audiences,['Choose Not To Use Archive Warnings'],['M/M'],Complete Work,11 Oct 2021,"['Harry Potter/Voldemort', 'Harry Potter & Lily Evans Potter', 'Minor or Background Relationship(s)']","['Harry Potter', 'Lily Evans Potter', 'James Potter', 'Sirius Black', 'Voldemort (Harry Potter)']","['Dimension Travel', 'Dark Harry Potter', 'Master of Death Harry Potter', 'Dubious Morality', 'Out of Character', 'Mother-Son Relationship', 'Married Harrymort', ""Harry's dimension is the darkest timeline"", 'Murder', 'Summoned Hero', 'Crack']",No summary,English,28365,7/7,388,8281,1637,99328
work_6551137,user-264155,A New Beginning,LullabyKnell,['Harry Potter - J. K. Rowling'],General Audiences,['No Archive Warnings Apply'],['Gen'],Complete Work,14 Apr 2016,"['Lucius Malfoy/Narcissa Black Malfoy', 'Narcissa Black Malfoy & Draco Malfoy', 'Draco Malfoy & Harry Potter']","['Narcissa Black Malfoy', 'Draco Malfoy', 'Lucius Malfoy', 'Harry Potter', 'Malfoy Family Portraits']","['Time Travel', 'Time Travel Fix-It', 'Fix-It', 'POV Outsider', 'POV Female Character', 'POV Narcissa Black Malfoy', 'Alternate Universe - Canon Divergence', 'Alternate Universe - Different First Meeting', 'First Meetings', 'Gen or Pre-Slash', 'Mother-Son Relationship', 'Family', 'Malfoy Family', 'Fluff and Angst', 'Secrets', 'Slytherins Being Slytherins', 'One Shot', 'Wordcount: 5.000-10.000', 'Time travel redo', 'Ambiguous/Open Ending', 'Malfoy Manor', 'Peggy Sue Time Travel']",No summary,English,8427,1/1,278,8277,1347,107693
work_21174527,user-217439,"Smaller Than Expected, but Still Terrifying",GremlinSR,"['Harry Potter - J. K. Rowling', 'The Avengers (Marvel Movies)']",Teen And Up Audiences,['No Archive Warnings Apply'],['F/M'],Complete Work,25 Oct 2019,"['Harry Potter/Tony Stark', 'Hermione Granger & Harry Potter & Ron Weasley']","['Harry Potter', 'Tony Stark', 'Hermoine Granger', 'Ron Weasely', 'Avengers Team (MCU)', 'Original Characters']","['Female Harry Potter', 'Alternate Universe - Soulmates', 'Alternate Universe - Canon Divergence', 'Tony Finds Out About Bucky Early', 'This changes the timeline', 'Not Avengers: Age of Ultron (Movie) Compliant', 'Not Steve Rogers Friendly', 'Tony is no longer an avenger', 'One shot that might become more', 'Soulmate-Identifying Marks', 'Overzealous prophets']",No summary,English,12881,1/1,207,8254,2038,92107
work_1161859,user-76511,House of Snakes,flitterflutterfly,['Harry Potter - J. K. Rowling'],Explicit,['Choose Not To Use Archive Warnings'],['M/M'],Work in Progress,01 Feb 2016,"['Harry Potter/Tom Riddle', 'Sirius Black/Remus Lupin']","['Harry Potter', 'Tom Riddle', 'Sirius Black', 'Remus Lupin', 'Lucius Malfoy', 'Narcissa Black Malfoy', 'Andromeda Black Tonks', 'Molly Weasley', 'Arthur Weasley', 'Nott Sr. (Harry Potter)', 'Mrs Greengrass']","['Time Travel', 'Kid Fic', 'Harry raises himself', 'Manipulative Dumbledore', 'Politics', 'Courtship']",No summary,English,71812,12/?,618,8251,2909,148958
work_23965102,user-7360237,Cacoethes,IneffableChaos,['Harry Potter - J. K. Rowling'],Explicit,['Choose Not To Use Archive Warnings'],['M/M'],Complete Work,05 Mar 2021,"['Harry Potter/Tom Riddle', 'Harry Potter/Voldemort', 'Harry Potter/Tom Riddle | Voldemort', 'Avery Sr./Harry Potter']","['Theodore Nott', 'Abraxas Malfoy', 'Avery Sr. (Harry Potter)', 'Lestrange Sr. (Harry Potter)', 'Evan Rosier', 'Mulciber Sr. (Harry Potter)', 'Armando Dippet', 'Albus Dumbledore', 'Harry Potter', 'Tom Riddle | Voldemort', 'Voldemort (Harry Potter)', 'Greengrass Family (Harry Potter)', 'Horace Slughorn', 'Basilisk (Harry Potter)', 'Unspeakable Characters (Harry Potter)', 'Sanguini (Harry Potter)', 'Gellert Grindelwald', 'Leonard Spencer-Moon']","['Dark Harry', 'Time Travel', 'Slow Burn', 'Slytherin Harry Potter', 'The Deathly Hallows', 'Hogwarts', 'Morally Grey Harry Potter', 'Unforgivable Curses (Harry Potter)', 'Dark Magic', 'Rituals', 'Powerful Harry', 'Teenage Tom Riddle', 'Basilisks', 'Mentor Dippet', 'Naive Harry Potter', 'Theft', 'Angst', 'Macabre', 'Horror', 'Nightmares', 'Torture', 'Minister for Magic Tom Riddle', 'Vampires', 'Ministry of Magic (Harry Potter)', 'Soul Bond', 'Unhealthy Relationships']",No summary,English,121775,38/38,1755,8248,2090,227010
work_13133676,user-2878526,All the Young Dudes: Christmas Compilation,MsKingBean89,['Harry Potter - J. K. Rowling'],General Audiences,['No Archive Warnings Apply'],"['F/F', 'M/M']",Complete Work,31 Dec 2017,"['Sirius Black/Remus Lupin', 'James Potter/Lily Evans Potter']","['Peter Pettigrew', 'Mary Macdonald', 'Lily Evans Potter', 'Marlene McKinnon']",['No Freeform Tags'],No summary,English,7407,5/5,297,8247,738,265286
work_11971230,user-2491135,Dissident,Constance1,['Harry Potter - J. K. Rowling'],Explicit,['Graphic Depictions Of Violence'],['M/M'],Complete Work,06 Jan 2019,['Draco Malfoy/Harry Potter'],['No Character Tags'],"['Creature Fic', 'Alpha/Beta/Omega Dynamics', 'nundu', 'Angst', 'Romance', 'Dubious Consent', 'Attempted Rape/Non-Con', 'Violence', 'Knotting', 'dark at times', 'but not really', 'Some fluffy moments too', 'Mpreg', 'Falling In Love', 'Omega Harry', 'Alpha Draco Malfoy', 'Drama', 'Claustrophobia', 'Mating Cycles/In Heat', 'Protective Draco Malfoy']",No summary,English,181649,24/24,643,8231,2179,230041
work_14765225,user-2563906,A Second Look,RiverWriter,['Harry Potter - J. K. Rowling'],Mature,['Choose Not To Use Archive Warnings'],['F/M'],Complete Work,13 Oct 2019,['Hermione Granger/Draco Malfoy'],"['Hermione Granger', 'Draco Malfoy', 'Harry Potter', 'Scorpius Malfoy', 'Albus Severus Potter', 'Andromeda Tonks', 'Teddy Lupin', 'George Weasley', 'Lucius Malfoy', 'Narcissa Malfoy', 'Ron Weasley', 'Lavender Brown', 'Ginny Weasley', 'James Sirius Potter', 'Pansy Parkinson']","['Romance', 'Family', 'Post Hogwarts', 'Divorce', 'Male-Female Friendship', 'dramione - Freeform', 'Harmony Friendship', 'Godmother Hermione', 'Enemies to Lovers', 'Post war life', 'Hermione Granger & Harry Potter Friendship']",No summary,English,127243,30/30,937,8227,2646,315366
work_2637458,user-57438,Brevem Conspectum,lauren3210,['Harry Potter - J. K. Rowling'],Explicit,['Choose Not To Use Archive Warnings'],['M/M'],Complete Work,19 Nov 2014,['Draco Malfoy/Harry Potter'],"['Harry Potter', 'Draco Malfoy', 'Hermione Granger', 'Ron Weasley', 'a few others', 'Original Characters']","['Fluff and Smut', 'Kid!Fic', 'domestic!fic', 'future!fic']",No summary,English,11707,1/1,242,8225,1314,88494
work_3451949,user-956237,Second Heat,Becstar7,['Harry Potter - J. K. Rowling'],Explicit,['Rape/Non-Con'],['M/M'],Complete Work,07 Mar 2015,['Draco Malfoy/Harry Potter'],"['Harry Potter', 'Draco Malfoy', 'Severus Snape', 'Hermione Granger', 'Ron Weasley', 'Narcissa Black Malfoy', 'Lucius Malfoy']","['AU', 'Alpha/Beta/Omega Dynamics', 'Dom/sub', 'Alpha Draco', 'Omega Harry Potter', 'Dom Draco', 'Sub Harry Potter', 'Dubious Consent', 'Drama', 'Established Relationship', 'Spoilers', 'Angst', 'Fluff', 'Sexual Content', 'Knotting', 'Soul Bond']",No summary,English,26430,5/5,493,8222,858,164661
