work_id,user_id,title,username,fandoms,rating,warnings,slash_categories,status,date_updated,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
work_25204582,user-35202,More Marvellous-Cunning Than Mortal Man's Pondering,Lomonaaeren,['Harry Potter - J. K. Rowling'],Teen And Up Audiences,['No Archive Warnings Apply'],['Gen'],Complete Work,15 Jul 2020,"['Goblins & Harry Potter', 'Luna Lovegood & Harry Potter', 'Sirius Black & Harry Potter', 'Albus Dumbledore & Harry Potter']","['Goblins (Harry Potter)', 'Harry Potter', 'Sirius Black', 'Cornelius Fudge', 'Albus Dumbledore', 'Severus Snape', 'Luna Lovegood', 'Ginny Weasley', 'Bartemius Crouch Sr.', 'Fred Weasley', 'George Weasley', 'Amelia Bones', 'Viktor Krum', 'Cedric Diggory', 'Fleur Delacour', 'Remus Lupin']","['Alternate Universe - Canon Divergence', 'Not Canon Compliant - Harry Potter and the Prisoner of Azkaban', 'Not Canon Compliant - Harry Potter and the Goblet of Fire', 'Goblins', 'Gringotts Wizarding Bank', 'Harry Potter was Raised by Other(s)', 'Goblin Rebellions', 'Angst', 'Humor', 'Present Tense']",No summary,English,25942,5/5,456,5988,346,52599
work_14515683,user-496660,Don't Trust Dumbledore,nobodyzhuman,['Harry Potter - J. K. Rowling'],Not Rated,['Choose Not To Use Archive Warnings'],['M/M'],Work in Progress,27 Oct 2021,['Draco Malfoy/Harry Potter'],"['Harry Potter', 'Draco Malfoy', 'Ron Weasley', 'Hermione Granger', 'Severus Snape', 'Sirius Black', 'Remus Lupin', 'Fred Weasley', 'George Weasley', 'Molly Weasley', 'Ginny Weasley', 'Charlie Weasley', 'Bill Weasley', 'Albus Dumbledore', 'Lucius Malfoy', 'James Potter', 'Lily Evans Potter', 'Tom Riddle | Voldemort', 'Do I have to name everyone lol', 'to many']","['Time Travel', 'Magical Inheritance', 'Manipulative Albus Dumbledore', 'Dumbledore Bashing', 'Molly Weasley Bashing', 'Hermione Granger Bashing', 'Enemies to Friends to Lovers', ""Marauders' Era"", 'Kinda', 'Add more as i go', 'Dom/sub']",No summary,English,117728,50/?,1157,5979,1826,167959
work_644421,user-6004,Never Have I Ever,Faith Wood (faithwood),['Harry Potter - J. K. Rowling'],General Audiences,['No Archive Warnings Apply'],['M/M'],Complete Work,18 Jan 2013,['Draco Malfoy/Harry Potter'],"['Draco Malfoy', 'Harry Potter']","['Hogwarts Eighth Year', 'Fluff']",No summary,English,690,1/1,45,5978,303,86806
work_621717,user-9,Waiting to Divide,emynn (orphan_account),['Harry Potter - J. K. Rowling'],Explicit,['No Archive Warnings Apply'],['M/M'],Complete Work,03 Jan 2013,"['Harry Potter/Severus Snape', 'Hermione Granger/Ron Weasley']","['Harry Potter', 'Severus Snape', 'Hermione Granger', 'Ron Weasley']",['Time Travel'],No summary,English,22674,1/1,150,5973,1280,77344
work_12029172,user-8617,Pyrite,geoffaree,['Harry Potter - J. K. Rowling'],General Audiences,['No Archive Warnings Apply'],['Gen'],Complete Work,15 Feb 2018,['No Relationship Tags'],"['Harry Potter', 'Severus Snape', 'Blaise Zabini', 'Millicent Bulstrode', 'Draco Malfoy', 'OCs']","['Alternate Universe', 'Slytherin Harry', 'Parseltongue']",No summary,English,133674,22/22,1610,5971,470,107777
work_9663536,user-16139,through the cracks in reverse,blackkat,"['Naruto', 'Harry Potter - J. K. Rowling']",Mature,['Choose Not To Use Archive Warnings'],"['F/F', 'F/M', 'Gen', 'M/M']",Complete Work,27 Feb 2018,"['Hatake Sakumo/Orochimaru', 'Hyuuga Hiashi/Uchiha Fugaku', 'Hatake Kakashi/Kyuubi | Nine-tails | Kurama', 'Uchiha Mikoto/Uzumaki Kushina', 'Momochi Zabuza/Gekkou Hayate', 'Uchiha Shisui/Kyuubi | Nine-tails | Kurama', 'Kyuubi | Nine-tails | Kurama/Uzumaki Kushina/Namikaze Minato', 'Hoshigaki Kisame/Uchiha Obito', 'Kyuubi | Nine-tails | Kurama/Shiranui Genma/Namiashi Raidou']","['Hatake Sakumo', 'Hatake Kakashi', 'Hyuuga Hiashi', 'Kyuubi | Nine-tails | Kurama', 'Orochimaru (Naruto)', 'Uchiha Mikoto', 'Uzumaki Kushina', 'Uchiha Shisui', 'Uchiha Fugaku', 'Fuu (Naruto)', 'Uzumaki Naruto', 'Gaara (Naruto)', 'Nii Yugito', 'Nagato | Pain', 'Harry Potter', 'Tom Riddle | Voldemort', 'Momochi Zabuza', 'Gekkou Hayate', 'Namikaze Minato', 'Uchiha Obito', 'Hoshigaki Kisame', 'Shiranui Genma']","['Alternate Universe - Canon Divergence', 'Humor', 'Angst', 'Ridiculousness', 'Fanfiction of Fanfiction']",No summary,English,17008,11/11,623,5968,503,96271
work_433140,user-9,A Snake Named Voldemort,orphan_account,['Harry Potter - J. K. Rowling'],Mature,['Choose Not To Use Archive Warnings'],['M/M'],Complete Work,23 Apr 2014,"['Harry Potter/Tom Riddle', 'Harry Potter/Voldemort']","['Voldemort', 'Harry Potter', 'Albus Dumbledore', 'Severus Snape', 'Bellatrix Lestrange', 'Hermione Granger', 'Ron Weasley', 'Lucius Malfoy', 'Tom Riddle', 'Draco Malfoy']","['Humor', 'Seriousness', 'Mild Angst', 'Finally complete here', 'Harry stays good', 'Dumbledore is not evil', 'Voldemort gets a reality check']",No summary,English,173220,24/24,401,5961,2221,152735
work_16744939,user-1508393,I Know We Can Make It Better Than It Ever Was,DreamingDemon,"['Harry Potter - J. K. Rowling', 'The Avengers (Marvel) - All Media Types']",Teen And Up Audiences,['Choose Not To Use Archive Warnings'],"['F/M', 'M/M']",Work in Progress,04 Apr 2021,"['Loki (Marvel)/Harry Potter', 'Other Relationship Tags to Be Added']","['Harry Potter', 'Loki (Marvel)', 'Thor (Marvel)', 'Tony Stark', 'Pepper Potts', 'Steve Rogers', 'James ""Bucky"" Barnes', 'Clint Barton', 'Natasha Romanov (Marvel)', 'Bruce Banner', 'Odin (Marvel)', 'Death (Harry Potter)', 'Frigga | Freyja (Marvel)', 'Other Character Tags to Be Added', 'Jane Foster (Marvel)', 'Darcy Lewis', 'Pietro Maximoff', 'Wanda Maximoff']","['Not Canon Compliant', 'World Travel', 'Slow Burn', 'Fix-It of Sorts', 'Other Additional Tags to Be Added']",No summary,English,48978,32/?,505,5956,1899,126900
work_604625,user-65377,Meant To Be,phoenixmaiden13 (LadyPhoenix),"['Harry Potter - Fandom', 'Harry Potter - J. K. Rowling']",Explicit,"['No Archive Warnings Apply', 'Rape/Non-Con', 'Graphic Depictions Of Violence']",['M/M'],Work in Progress,01 Jan 2022,['Harry Potter/Tom Riddle'],"['Harry Potter', 'Tom Riddle | Voldemort', 'Hermione Granger', 'Ron Weasley', 'Arthur Weasley', 'Molly Weasley', 'Albus Dumbledore', 'Remus Lupin', 'Fred Weasley', 'George Weasley', 'Fenrir Greyback']","['Romance', 'Explicit Sexual Content', 'Non Consensual', 'Consensual Sex', 'Anal Sex', 'Male Pregnancy', 'Some Graphic Violence', ""Don't copy to another site""]",No summary,English,151254,40/?,1757,5956,1769,197439
work_11853807,user-2736428,Operation: S.M.W.L.N.T.E.T.H.S.P,XxTheDarkLordxX,['Harry Potter - J. K. Rowling'],Teen And Up Audiences,['No Archive Warnings Apply'],['M/M'],Complete Work,20 Aug 2017,['Draco Malfoy/Harry Potter'],"['Harry Potter', 'Draco Malfoy', 'Luna Lovegood', 'Neville Longbottom', 'Seamus Finnigan', 'Dean Thomas', 'Parvati Patil']","['Fluff', 'Tooth-Rotting Fluff', 'No Angst', 'Dorks in Love', 'Denial of Feelings', 'Secret Admirer', 'Note Giver', 'Draco is not amused', 'Harry is iritated', 'Both of them are so done', 'Post-War']",No summary,English,8077,1/1,190,5955,798,54339
