work_id,user_id,title,username,fandoms,rating,warnings,slash_categories,status,date_updated,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
work_3686949,user-55406,Leo Inter Serpentes: Fifth Year,Aeternum,['Harry Potter - J. K. Rowling'],Mature,['Underage'],"['F/F', 'F/M', 'M/M', 'Multi']",Complete Work,16 Nov 2015,"['Draco Malfoy/Harry Potter', 'background Hermione Granger/Viktor Krum - Relationship', 'background Sirius Black/Remus Lupin', 'background Narcissa Black Malfoy/Kingsley Shacklebolt', 'background Millicent Bulstrode/Pansy Parkinson', 'background Tracey Davis/Theodore Nott', 'background Daphne Greengrass/Adrian Pucey', 'background Blaise Zabini/everyone', 'Background Blaise Zabini/Ginny Weasley']","['Harry Potter', 'Draco Malfoy', 'Hermione Granger', 'Severus Snape', 'Narcissa Black Malfoy', 'Dobby', 'Sirius Black', 'Remus Lupin', 'Pansy Parkinson', 'Millicent Bulstrode', 'Daphne Greengrass', 'Tracey Davis', 'Theodore Nott', 'Blaise Zabini', 'Neville Longbottom', 'Ginny Weasley', 'Minerva McGonagall', 'Albus Dumbledore', 'Aurora Sinistra', 'Dolores Umbridge', 'Kingsley Shacklebolt', 'Nymphadora Tonks', 'Rubeus Hagrid', 'Fang', 'Hedwig', 'The Weasleys', 'Death Eater(s)', 'Original Female Character(s)', 'Original Male Character(s)', 'Gregory Goyle', 'Vincent Crabbe', 'Luna Lovegood']","['Alternate Universe - Canon Divergence', 'Slytherin Harry', 'Good Slytherins', 'Parseltongue', 'Adoption', 'Everybody has daddy issues', 'Just a fuck load of family drama in general', 'The Slytherins spend much of the year plotting', ""I'm really sorry to any actual toads who may be reading this"", ""I'm sure you're all much nicer than Umbridge"", 'Occlumency is a giant headache to write as well as to learn', 'Minor Character Death']",No summary,English,215738,33/33,3728,11794,724,259313
work_5025334,user-88480,chalk this one up as a win,tamerofdarkstars,['Harry Potter - J. K. Rowling'],Teen And Up Audiences,['No Archive Warnings Apply'],['M/M'],Complete Work,18 Oct 2015,['Marcus Flint/Oliver Wood'],"['Marcus Flint', 'Oliver Wood']","['Soulmate-Identifying Marks', 'Alternate Universe - Soulmates', 'Quidditch', 'Fluff', 'Oliver likes Quidditch', 'this was going to be short', 'it turned out not short']",No summary,English,6205,1/1,223,11636,1199,133831
work_1793848,user-87440,Spin the Wand,WrittenSins,['Harry Potter - J. K. Rowling'],Teen And Up Audiences,['Choose Not To Use Archive Warnings'],"['F/F', 'M/M']",Complete Work,16 Jun 2014,"['Draco Malfoy/Harry Potter', 'Hermione Granger/Ron Weasley', 'Seamus Finnigan/Dean Thomas', 'Padma Patil/Pansy Parkinson', 'Justin Finch-Fletchley/Blaise Zabini', 'Neville Longbottom/Ginny Weasley', 'and some other pairings that dont matter']",['No Character Tags'],"['Hogwarts Eighth Year', 'Spin the Bottle', 'or well spin the wand', 'kissing in the spirit of inter-house unity']",No summary,English,2924,1/1,105,11627,1165,119387
work_18394907,user-4927505,The Left Words,authoresswithoutwords,['Harry Potter - J. K. Rowling'],Mature,['Choose Not To Use Archive Warnings'],['M/M'],Complete Work,29 Feb 2020,"['Harry Potter/Voldemort', 'Harry Potter/Tom Riddle | Voldemort']","['Harry Potter', 'Tom Riddle | Voldemort', 'Albus Dumbledore', 'Draco Malfoy', 'Ron Weasley', 'Hermione Granger', 'Severus Snape', 'Neville Longbottom']","['Slow Burn', 'Alternate Universe - Soulmates', 'Soulmate-Identifying Marks', 'Implied/Referenced Child Abuse', 'Bullying', 'Slytherin Harry Potter', 'Smart Harry', 'Manipulative Albus Dumbledore', 'Suicide Attempt']",No summary,English,234804,11/11,1077,11621,3368,228547
work_14461941,user-4016694,The Eagle's Nest,HeartOfAspen,['Harry Potter - J. K. Rowling'],Mature,['Choose Not To Use Archive Warnings'],['F/M'],Complete Work,21 Sep 2020,['Hermione Granger/Draco Malfoy'],"['Hermione Granger', 'Draco Malfoy', 'Theodore Nott', 'Harry Potter', 'Ginny Weasley', 'Ron Weasley']","['Harry Potter Epilogue What Epilogue | EWE', 'Alternate Universe - Canon Divergence', 'Ravenclaw Hermione Granger', 'Ravenclaw Draco Malfoy', 'Mentions of Suicide', 'Magic Makes Mischief']",No summary,English,292798,71/71,4060,11610,3699,440867
work_2549801,user-397616,The Stark Truth,misteeirene,"['Harry Potter - Fandom', 'Avengers']",Explicit,"['Graphic Depictions Of Violence', 'Rape/Non-Con', 'Underage']",['M/M'],Complete Work,25 Nov 2021,"['Harry Potter - Relationship', 'Avenger - Relationship', 'Harry/Fred/George']","['Harry Potter', 'Tony Stark']","['Slash', 'Mpreg', 'Abuse', 'Rape', 'Cutting', 'Language', 'Attempted Suicide', 'harry/Fred/George - Freeform']",No summary,English,216426,30/30,2625,11556,3284,361961
work_16435904,user-287005,"yer a wizard, dudley",dirgewithoutmusic,['Harry Potter - J. K. Rowling'],Teen And Up Audiences,['Major Character Death'],['Gen'],Complete Work,28 Oct 2018,"['Dudley Dursley & Piers Polkiss', 'Dudley Dursley & Nymphadora Tonks', 'Dudley Dursley & Percy Weasley', 'Dudley Dursley & Hagrid']","['Dudley Dursley', 'Harry Potter', 'Minerva McGonagall', 'Nymphadora Tonks', 'Filius Flitwick', 'Moaning Myrtle', 'Penelope Clearwater', 'Cedric Diggory', 'Cho Chang', 'Rubeus Hagrid']","['Dudley goes to Hogwarts', ""I don't know why I did it either folks""]",No summary,English,21860,1/1,718,11549,2066,97907
work_791599,user-109552,That Old Black Magic,fallovermelikestars,['Harry Potter - J. K. Rowling'],Mature,['Choose Not To Use Archive Warnings'],['M/M'],Complete Work,10 May 2013,"['Sirius Black/Remus Lupin', 'Lily Evans/James Potter']","['Remus Lupin', 'Sirius Black', 'James Potter', 'Peter Pettigrew', 'Lily Evans', 'Regulus Black']","[""Marauders' Era""]",No summary,English,36775,1/1,260,11532,2686,179787
work_20750912,user-1638176,Sweater Weather,lumosinlove,"['Harry Potter - J. K. Rowling', 'Sweater Weather - Lumosinlove']",Explicit,['Choose Not To Use Archive Warnings'],['M/M'],Complete Work,13 May 2021,"['Sirius Black/Remus Lupin', ""Leo Knut/Finn O'Hara/Logan Tremblay (lumosinlove)""]","['Sirius Black', 'Remus Lupin', 'James Potter', 'Lily Evans Potter', 'Regulus Black', 'Logan Tremblay (lumosinlove)', 'Leo Knut (lumosinlove)', ""Finn O'Hara (lumosinlove)""]","['Hockey AU', 'hockey player sirius black', 'Angst', 'Fluff', 'Smut', 'Sexual Content', 'Blow Jobs', 'Anal Sex', 'Semi-Public Sex', 'falling in looovveee', 'PT Remus Lupin', 'regulus is alive', 'and i love him', 'Original Characters - Freeform', 'Found Family']",No summary,English,156108,23/23,1958,11506,3383,493206
work_1104020,user-7388,He Who Must Not Be Normal,lettered,['Harry Potter - J. K. Rowling'],Explicit,['No Archive Warnings Apply'],['M/M'],Complete Work,31 Dec 2013,['Draco Malfoy/Harry Potter'],['Harry Potter'],['No Freeform Tags'],No summary,English,40913,1/1,507,11476,2883,207028
