work_id,user_id,title,username,fandoms,rating,warnings,slash_categories,status,date_updated,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
work_1114766,user-248160,Burning the Ground,lq_traintracks (lumosed_quill),['Harry Potter - J. K. Rowling'],Explicit,['No Archive Warnings Apply'],['M/M'],Complete Work,25 Sep 2013,['Draco Malfoy/Harry Potter'],['No Character Tags'],"['A/B/O-ish dynamic', 'Were-Creatures', 'Knotting', 'Rough Sex', 'Anal Sex', 'Bondage', 'Blow Jobs', 'sex on the floor', 'Rimming', 'Auror Harry Potter', 'Healer Draco Malfoy']",No summary,English,10256,1/1,184,6923,1287,135391
work_7869079,user-2406442,Blends,rvltn909,['Harry Potter - J. K. Rowling'],Mature,['No Archive Warnings Apply'],['M/M'],Complete Work,27 Oct 2016,"['Sirius Black/Remus Lupin', 'James Potter/Lily Evans']","['Remus Lupin', 'Sirius Black', 'James Potter', 'Lily Evans', 'Peter Pettigrew', 'Dorcas Meadowes', 'Mary Macdonald', 'Marlene McKinnon']","['Alternate Universe - Coffee Shops & Cafés', 'Alternate Universe - College/University', 'Slice of Life', 'Hurt/Comfort', 'Slow Burn']",No summary,English,187656,22/22,1498,6913,2447,256545
work_20711507,user-3861138,Anthology,senlinyu,['Harry Potter - J. K. Rowling'],Mature,['Choose Not To Use Archive Warnings'],['F/M'],Complete Work,26 Oct 2022,['Hermione Granger/Draco Malfoy'],"['Harry Potter', 'Ron Weasley', 'Blaise Zabini', 'Hermione Granger', 'Draco Malfoy', 'Narcissa Black Malfoy']","['Tumblr Ask Box Fic', 'Tumblr Prompt', 'Ficlet Collection', 'Angst', 'Fluff and Humor', 'Banter', 'Sharing a Room', 'one bed', 'Trapped In Elevator', 'Jealous Draco Malfoy', 'Powerful Hermione Granger', 'Courtship', 'Courting Rituals', 'Political Rivals', 'Blackmail', 'PTSD', 'Secret Relationship', 'social smoking', 'Arachnophobia', 'Unplanned Pregnancy', 'Memory Alteration', 'Alternate Universe - Non-Magical', 'Alternate Universe - College/University', 'Established Relationship', 'Demon Draco Malfoy', 'Demon Sex', 'Wing Kink', 'Fluff']",No summary,English,32078,28/28,1141,6909,630,170775
work_4666485,user-98313,Ghostly Request,Genuka,['Harry Potter - J. K. Rowling'],Mature,['Graphic Depictions Of Violence'],['M/M'],Complete Work,16 Mar 2017,"['Lucius Malfoy/Harry Potter/Severus Snape/Voldemort', 'Lucius Malfoy/Harry Potter/Tom Riddle/Severus Snape', 'Lucius Malfoy/Harry Potter/Severus Snape', 'Lucius Malfoy/Harry Potter/Tom Riddle', 'Lucius Malfoy/Harry Potter/Voldemort', 'Harry Potter/Severus Snape/Voldemort', 'Harry Potter/Tom Riddle/Severus Snape', 'Lucius Malfoy/Severus Snape', 'Lucius Malfoy/Harry Potter', 'Lucius Malfoy/Tom Riddle', 'Lucius Malfoy/Voldemort', 'Harry Potter/Severus Snape', 'Severus Snape/Voldemort', 'Tom Riddle/Severus Snape', 'Harry Potter/Tom Riddle | Harry Potter/Voldemort']","['Harry Potter', 'Severus Snape', 'Tom Riddle | Voldemort', 'Voldemort', 'Tom Riddle', 'Malfoy Family (Harry Potter)']","['Magical Deals', 'Harry Potter is a Horcrux', 'Horcruxes', 'Abusive Dursley Family', 'Sane!Voldemort', 'Foursome - M/M/M/M', 'Creature Fic', 'Bunny Farm Escapee']",No summary,English,32465,14/14,510,6907,1547,158412
work_26134510,user-3861138,A Thing With[out] Feathers,senlinyu,['Harry Potter - J. K. Rowling'],Explicit,['No Archive Warnings Apply'],['F/M'],Complete Work,19 Oct 2020,['Hermione Granger/Draco Malfoy'],"['Hermione Granger', 'Draco Malfoy', 'Original Veela Character(s)', 'Harry Potter', 'Ron Weasley']","['Veela Mates', 'Veela Hermione Granger', 'Wing Kink', 'Fake/Pretend Relationship', 'Explicit Sexual Content', 'Spells & Enchantments', 'Unplanned Pregnancy', 'Mutual Pining', 'Idiots in Love', 'Ministry of Magic Employee Hermione Granger', 'Manipulation', 'Orgasm Delay/Denial', 'Pining Draco Malfoy', 'Oblivious Hermione Granger', 'Miscommunication', 'Romantic Comedy', 'Fluff and Crack', 'Magical Creatures', 'idiot plot']",No summary,English,18253,5/5,587,6896,1322,125860
work_16756768,user-35202,Fruit of the Golden Tree,Lomonaaeren,['Harry Potter - J. K. Rowling'],Teen And Up Audiences,['Choose Not To Use Archive Warnings'],['Gen'],Complete Work,29 Nov 2018,['Euphemia Potter/Fleamont Potter'],"['Fleamont Potter', 'Harry Potter', 'Severus Snape', 'Sirius Black', 'Peter Pettigrew']","['Alternate Universe - Canon Divergence', 'Minor Character Death', 'Violence', 'Harry Potter was Raised by Other(s)', 'Ruthless Fleamont Potter', 'Angst']",No summary,English,11884,3/3,383,6893,1126,68086
work_14139486,user-9,Harry Potter and the Center of the Maze,orphan_account,['Harry Potter - J. K. Rowling'],Not Rated,['Choose Not To Use Archive Warnings'],"['F/F', 'F/M', 'M/M']",Complete Work,15 Aug 2018,"[""I'm not going to say because you get to be surprised""]","['Harry Potter', 'Hermione Granger', 'Theodore Nott', 'Blaise Zabini', 'Pansy Parkinson', 'Daphne Greengrass', 'Neville Longbottom', 'Justin Finch-Fletchley', 'Draco Malfoy', 'Severus Snape', 'Albus Dumbledore', 'James Potter', 'Augusta Longbottom', 'Original Female Character(s)', 'Original Male Character(s)', 'Ron Weasley', 'Astoria Greengrass', 'Jules Potter - Character']","['Slytherin Harry', 'Slytherin Harry Potter', 'Gray Harry', 'Grey Harry', 'Gray Harry Potter', 'Grey Harry Potter', 'Triwizard Tournament', 'Goblet of Fire (rewrite)', 'Slytherin Politics', 'WBWL', 'Harry is not the boy who lived', 'Or Is he?', ""we don't know"", ""other people don't think it's him anyway"", ""Snape's still a dick but getting less so"", 'Dumbledore Bashing', 'James Potter Bashing', 'Ron Weasley Bashing']",No summary,English,215633,22/22,2099,6888,583,191786
work_22232683,user-6380830,The Binding,Curly_Kay,['Harry Potter - J. K. Rowling'],Explicit,['No Archive Warnings Apply'],"['F/M', 'M/M']",Complete Work,19 Jul 2020,"['Hermione Granger/Draco Malfoy', 'Theodore Nott/Harry Potter', 'Luna Lovegood/Blaise Zabini']","['Hermione Granger', 'Draco Malfoy', 'Theodore Nott', 'Blaise Zabini', 'Narcissa Black Malfoy', 'Harry Potter', 'Pansy Parkinson', 'Andromeda Black Tonks', 'Crookshanks (Harry Potter)', 'Dolores Umbridge', 'Ron Weasley', 'Luna Lovegood', 'Lucius Malfoy', 'Dean Thomas', 'Charles the Peacock', 'Amelia the Hufflepuff', 'Whimpering Wendy']","['Rituals', 'Soul Bond', 'Runes', 'Harry Potter Epilogue What Epilogue | EWE', 'Hogwarts Era', 'Loss of Virginity', 'Humor', 'Romance', 'Falling In Love', 'The Noble and Most Ancient House of Black', 'Soulmate-Identifying Marks', 'Secret Relationship', 'Sexual Content', 'Blood Magic', 'Angst with a Happy Ending', '6th Year is Rough', 'Sassy Hufflepuff', 'Love of Chocolate', 'Banter', 'SO MUCH BANTER', 'Sweetheart Draco', 'Vigilante Peacock', 'Canon-Typical Violence', 'Fluff and Smut']",No summary,English,175451,35/35,2107,6886,2670,317846
work_22144981,user-51893,"The Same, But Different",SomewheresSword,['Harry Potter - J. K. Rowling'],Mature,['Underage'],"['F/M', 'M/M']",Complete Work,03 Apr 2020,"['Cedric Diggory/Harry Potter', 'Neville Longbottom/Luna Lovegood']","['Harry Potter', 'Cedric Diggory', 'Luna Lovegood', 'Neville Longbottom', 'Hogwarts Founders']","['Reincarnated Hogwarts Founders', 'Harry Potter is Salazar Slytherin', 'Goblet of Fire AU', 'Gender Dysphoria', 'Gender Non-Conforming Cedric Diggory']",No summary,English,90582,25/25,563,6880,2374,104281
work_7637125,user-937673,"Shake it, Bake it, Brew it",Blackkitten23,['Harry Potter - J. K. Rowling'],Explicit,['No Archive Warnings Apply'],['M/M'],Complete Work,10 May 2019,['Draco Malfoy/Harry Potter'],"['Severus Snape', 'Albus Dumbledore']","['Explicit Sexual Content', 'Child Abuse', 'Attempted Murder', 'Explicit Language', 'Mpreg']",No summary,English,139774,32/32,818,6869,2095,187934
work_563690,user-61262,Of Cinema and Sticky Notes,bluepeony,['Harry Potter - J. K. Rowling'],Explicit,['Choose Not To Use Archive Warnings'],['M/M'],Complete Work,15 Nov 2012,['Sirius Black/Remus Lupin'],"['Sirius Black', 'Remus Lupin', 'James Potter', 'Peter Pettigrew', 'Frank Longbottom', 'Kingsley Shacklebolt']",['Marauders'],No summary,English,12452,3/3,144,6866,1045,92350
work_7635253,user-2292841,Just The Two Of Us,Hekatee,['Harry Potter - J. K. Rowling'],General Audiences,['Choose Not To Use Archive Warnings'],['M/M'],Complete Work,31 Jul 2016,['Draco Malfoy/Harry Potter'],"['Draco Malfoy', 'Harry Potter', 'Poppy Pomfrey']","['Soulmate-Identifying Marks', 'Alternate Universe - Soulmates', 'Hogwarts Eighth Year', 'Fluff', 'Love', 'Enemies to Lovers', 'Soulmates', 'One Shot']",No summary,English,3492,1/1,53,6861,577,75827
work_23815003,user-4550762,Everything Black,General_Jellyfish,['Harry Potter - J. K. Rowling'],Teen And Up Audiences,['Choose Not To Use Archive Warnings'],['M/M'],Complete Work,09 Jun 2022,"['Draco Malfoy/Harry Potter', 'Draco Malfoy & Harry Potter', 'Harry Potter & Ron Weasley', 'Hermione Granger & Harry Potter', 'Neville Longbottom & Harry Potter']","['Harry Potter', 'Draco Malfoy', 'Ron Weasley', 'Hermione Granger', 'Neville Longbottom', 'Severus Snape', 'Albus Dumbledore', 'Minerva McGonagall', 'Tom Riddle | Voldemort', 'Fred Weasley', 'George Weasley']","['Time Travel', 'Alternate Universe - Canon Divergence', 'I had an idea and I decided to roll with it', 'Fix-It', 'I plan to fix everything through time travel', 'King of Sarcasm Harry', 'King of Snobbery Draco', 'BAMF Harry (kind of)', 'Smart Harry', ""Book 1: Harry Potter and the Philosopher's Stone"", 'slight PTSD', 'Meddling Albus Dumbledore', 'Slight Albus Dumbledore bashing', ""Harry's Minions"", ""one does not simply accidentally time travel (unless you're harry)"", 'Feels', 'Fluff', 'Ron Weasley is a Good Friend', 'he still had problems but then again so does the rest of the world', 'Hermione Granger is a Good Friend', 'Sassy Harry Potter', 'Quirrelmort']",No summary,English,66319,18/18,870,6856,1672,176730
work_19797934,user-975713,"All I Have, All I Need",Sineluce_Velius_Tristitia,"['Harry Potter - J. K. Rowling', 'Marvel Cinematic Universe', 'Iron Man (Movies)', 'The Avengers (Marvel Movies)']",Teen And Up Audiences,['Choose Not To Use Archive Warnings'],['Gen'],Work in Progress,25 Dec 2021,"['Death & Harry Potter', 'Harry Potter & Thanos (Marvel)', 'Harry Potter & Harley Keener', 'Harley Keener & Tony Stark', 'Harry Potter & Tony Stark']","['Harry Potter', 'Thanos (Marvel)', 'Gamora (Marvel)', 'Harley Keener', 'Tony Stark', 'Jarvis (Iron Man movies)', 'The Black Order (Marvel)', ""Harley Keener's Mother"", ""Harley Keener's Sister""]","['Master of Death Harry Potter', 'Not Epilogue Compliant', 'Unhealthy Coping Mechanisms', 'Implied/Referenced Suicide', 'Canon-Typical Violence', 'Dark Harry Potter', 'well kind of', 'Rebirth', 'hand wavy everything', 'First Time Writing in Marvel', 'Gamora is a child okay guys', 'Thanos the Daddy', 'Manipulation', 'A little bit of gaslighting', 'Temporary Character Death', 'Champion of Death', 'Merchant of Death', 'Iron Man 3 Compliant', 'Harley Keener Needs a Hug', 'Character Death', 'it happens okay', 'Tony Stark Has A Heart', 'Fix-It of Sorts', 'Harley is an Enabler of Bad Habits', ""because he doesn't know what he's doing"", 'is this whump???', 'Thor: The Dark World Compliant', 'Captain America: The Winter Soldier Compliant', 'Alternate Universe - Canon Divergence', ""Don't copy to another site"", 'Say no to senseless character bashing', 'Angst is not a drug']",No summary,English,73744,21/?,968,6850,2703,122019
