work_id,user_id,title,username,fandoms,rating,warnings,slash_categories,status,date_updated,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
work_6551137,user-264155,A New Beginning,LullabyKnell,['Harry Potter - J. K. Rowling'],General Audiences,['No Archive Warnings Apply'],['Gen'],Complete Work,14 Apr 2016,"['Lucius Malfoy/Narcissa Black Malfoy', 'Narcissa Black Malfoy & Draco Malfoy', 'Draco Malfoy & Harry Potter']","['Narcissa Black Malfoy', 'Draco Malfoy', 'Lucius Malfoy', 'Harry Potter', 'Malfoy Family Portraits']","['Time Travel', 'Time Travel Fix-It', 'Fix-It', 'POV Outsider', 'POV Female Character', 'POV Narcissa Black Malfoy', 'Alternate Universe - Canon Divergence', 'Alternate Universe - Different First Meeting', 'First Meetings', 'Gen or Pre-Slash', 'Mother-Son Relationship', 'Family', 'Malfoy Family', 'Fluff and Angst', 'Secrets', 'Slytherins Being Slytherins', 'One Shot', 'Wordcount: 5.000-10.000', 'Time travel redo', 'Ambiguous/Open Ending', 'Malfoy Manor', 'Peggy Sue Time Travel']",Narcissa wakes with the certain feeling that something is terribly wrong. ,English,8427,1/1,278,8287,1347,107758
work_13133676,user-2878526,All the Young Dudes: Christmas Compilation,MsKingBean89,['Harry Potter - J. K. Rowling'],General Audiences,['No Archive Warnings Apply'],"['F/F', 'M/M']",Complete Work,31 Dec 2017,"['Sirius Black/Remus Lupin', 'James Potter/Lily Evans Potter']","['Peter Pettigrew', 'Mary Macdonald', 'Lily Evans Potter', 'Marlene McKinnon']",['No Freeform Tags'],As a gift to the incredibly lovely and dedicated readers of my main work 'All the Young Dudes' - a few drabbles from the points of view of several main characters.,English,7407,5/5,297,8270,738,265777
work_21174527,user-217439,"Smaller Than Expected, but Still Terrifying",GremlinSR,"['Harry Potter - J. K. Rowling', 'The Avengers (Marvel Movies)']",Teen And Up Audiences,['No Archive Warnings Apply'],['F/M'],Complete Work,25 Oct 2019,"['Harry Potter/Tony Stark', 'Hermione Granger & Harry Potter & Ron Weasley']","['Harry Potter', 'Tony Stark', 'Hermoine Granger', 'Ron Weasely', 'Avengers Team (MCU)', 'Original Characters']","['Female Harry Potter', 'Alternate Universe - Soulmates', 'Alternate Universe - Canon Divergence', 'Tony Finds Out About Bucky Early', 'This changes the timeline', 'Not Avengers: Age of Ultron (Movie) Compliant', 'Not Steve Rogers Friendly', 'Tony is no longer an avenger', 'One shot that might become more', 'Soulmate-Identifying Marks', 'Overzealous prophets']","Tony was in the middle of nowhere, an alien scepter had taken control of his mind, and he was about to get into a knock-down-drag-out with his ex-team.",English,12881,1/1,208,8269,2039,92233
work_23965102,user-7360237,Cacoethes,IneffableChaos,['Harry Potter - J. K. Rowling'],Explicit,['Choose Not To Use Archive Warnings'],['M/M'],Complete Work,05 Mar 2021,"['Harry Potter/Tom Riddle', 'Harry Potter/Voldemort', 'Harry Potter/Tom Riddle | Voldemort', 'Avery Sr./Harry Potter']","['Theodore Nott', 'Abraxas Malfoy', 'Avery Sr. (Harry Potter)', 'Lestrange Sr. (Harry Potter)', 'Evan Rosier', 'Mulciber Sr. (Harry Potter)', 'Armando Dippet', 'Albus Dumbledore', 'Harry Potter', 'Tom Riddle | Voldemort', 'Voldemort (Harry Potter)', 'Greengrass Family (Harry Potter)', 'Horace Slughorn', 'Basilisk (Harry Potter)', 'Unspeakable Characters (Harry Potter)', 'Sanguini (Harry Potter)', 'Gellert Grindelwald', 'Leonard Spencer-Moon']","['Dark Harry', 'Time Travel', 'Slow Burn', 'Slytherin Harry Potter', 'The Deathly Hallows', 'Hogwarts', 'Morally Grey Harry Potter', 'Unforgivable Curses (Harry Potter)', 'Dark Magic', 'Rituals', 'Powerful Harry', 'Teenage Tom Riddle', 'Basilisks', 'Mentor Dippet', 'Naive Harry Potter', 'Theft', 'Angst', 'Macabre', 'Horror', 'Nightmares', 'Torture', 'Minister for Magic Tom Riddle', 'Vampires', 'Ministry of Magic (Harry Potter)', 'Soul Bond', 'Unhealthy Relationships']","After the Sectumsempra incident, Harry runs to the Room of Requirement to get rid of the Half Blood Prince’s journal. He wants somewhere to hide but when he enters the room, he is thrown back to 1943 where he struggles with his use of Dark magic, sending him down a path leading to Tom Riddle.",English,121775,38/38,1759,8259,2093,227323
work_1161859,user-76511,House of Snakes,flitterflutterfly,['Harry Potter - J. K. Rowling'],Explicit,['Choose Not To Use Archive Warnings'],['M/M'],Work in Progress,01 Feb 2016,"['Harry Potter/Tom Riddle', 'Sirius Black/Remus Lupin']","['Harry Potter', 'Tom Riddle', 'Sirius Black', 'Remus Lupin', 'Lucius Malfoy', 'Narcissa Black Malfoy', 'Andromeda Black Tonks', 'Molly Weasley', 'Arthur Weasley', 'Nott Sr. (Harry Potter)', 'Mrs Greengrass']","['Time Travel', 'Kid Fic', 'Harry raises himself', 'Manipulative Dumbledore', 'Politics', 'Courtship']","At 30 years old, divorced, and headmaster of Hogwarts, Harry Potter doesn't have the life he'd always dreamed would come after defeating Voldemort. A chance discovery in the Chamber of Secrets allows him an opportunity to go back in time and change some things. Wherein Harry—now Hadrian—raises his younger self, dances the political dance with Death Eaters and a resurrected Tom Marvolo Riddle, and searches for a way to stop the destruction of the magical world.",English,71812,12/?,618,8257,2910,149012
work_14765225,user-2563906,A Second Look,RiverWriter,['Harry Potter - J. K. Rowling'],Mature,['Choose Not To Use Archive Warnings'],['F/M'],Complete Work,13 Oct 2019,['Hermione Granger/Draco Malfoy'],"['Hermione Granger', 'Draco Malfoy', 'Harry Potter', 'Scorpius Malfoy', 'Albus Severus Potter', 'Andromeda Tonks', 'Teddy Lupin', 'George Weasley', 'Lucius Malfoy', 'Narcissa Malfoy', 'Ron Weasley', 'Lavender Brown', 'Ginny Weasley', 'James Sirius Potter', 'Pansy Parkinson']","['Romance', 'Family', 'Post Hogwarts', 'Divorce', 'Male-Female Friendship', 'dramione - Freeform', 'Harmony Friendship', 'Godmother Hermione', 'Enemies to Lovers', 'Post war life', 'Hermione Granger & Harry Potter Friendship']","Her best friend's life was a mess and she would have done anything to make things better for him and his sons. So, when she found her former enemy in a similar situation her heart went out to him as well... and the beautiful blond baby in his arms didn't hurt his case. It was certainly enough for her to give him a second look.",English,127243,30/30,937,8239,2651,316028
work_11971230,user-2491135,Dissident,Constance1,['Harry Potter - J. K. Rowling'],Explicit,['Graphic Depictions Of Violence'],['M/M'],Complete Work,06 Jan 2019,['Draco Malfoy/Harry Potter'],['No Character Tags'],"['Creature Fic', 'Alpha/Beta/Omega Dynamics', 'nundu', 'Angst', 'Romance', 'Dubious Consent', 'Attempted Rape/Non-Con', 'Violence', 'Knotting', 'dark at times', 'but not really', 'Some fluffy moments too', 'Mpreg', 'Falling In Love', 'Omega Harry', 'Alpha Draco Malfoy', 'Drama', 'Claustrophobia', 'Mating Cycles/In Heat', 'Protective Draco Malfoy']","In a world of Alphas and Omegas, Harry is surprised to discover that he is a rare male Omega. He assumes his pull towards Draco Malfoy is because the Slytherin is an Alpha, but there is more at play here than even Harry knows.",English,181649,24/24,644,8236,2180,230385
work_2637458,user-57438,Brevem Conspectum,lauren3210,['Harry Potter - J. K. Rowling'],Explicit,['Choose Not To Use Archive Warnings'],['M/M'],Complete Work,19 Nov 2014,['Draco Malfoy/Harry Potter'],"['Harry Potter', 'Draco Malfoy', 'Hermione Granger', 'Ron Weasley', 'a few others', 'Original Characters']","['Fluff and Smut', 'Kid!Fic', 'domestic!fic', 'future!fic']","During a routine clearing of an old Death Eater house, Harry stumbles over an ancient spell that sends him somewhere completely different. He has to work out where he is and how to get back. Or if he even wants to.",English,11707,1/1,242,8232,1315,88583
work_3451949,user-956237,Second Heat,Becstar7,['Harry Potter - J. K. Rowling'],Explicit,['Rape/Non-Con'],['M/M'],Complete Work,07 Mar 2015,['Draco Malfoy/Harry Potter'],"['Harry Potter', 'Draco Malfoy', 'Severus Snape', 'Hermione Granger', 'Ron Weasley', 'Narcissa Black Malfoy', 'Lucius Malfoy']","['AU', 'Alpha/Beta/Omega Dynamics', 'Dom/sub', 'Alpha Draco', 'Omega Harry Potter', 'Dom Draco', 'Sub Harry Potter', 'Dubious Consent', 'Drama', 'Established Relationship', 'Spoilers', 'Angst', 'Fluff', 'Sexual Content', 'Knotting', 'Soul Bond']","The war is over, Voldemort is dead, and Harry has his Alpha wrapped around his little finger. So when his body goes into its second heat, it should have been good. Easier, even, this time around. But since when is anything ever easy for Harry Potter?",English,26430,5/5,493,8229,859,164756
work_13125288,user-194104,You open always (petal by petal),birdsofshore,['Harry Potter - J. K. Rowling'],Explicit,['Choose Not To Use Archive Warnings'],['M/M'],Complete Work,26 Dec 2017,['Draco Malfoy/Harry Potter'],"['Harry Potter', 'Draco Malfoy', 'Hermione Granger', 'Ron Weasley']","['Post War', 'Rent Boy!Draco', 'Down-And-Out!Draco', 'Grimmauld Place', 'House magic', 'Portraits', 'First Times', 'Antagonism', 'Hurt/Comfort', 'Coming Out', 'Pining', 'Angst', 'UST', 'Kissing', 'Frotting', 'Blow Jobs', 'Rimming', 'Intergluteal Sex', 'Anal Sex', 'Homophobic Slurs And Attitudes', 'Internalised Homophobia', 'Derogatory Attitudes To Sex Workers', 'Some Mentions Of Sadistic Violence', 'Brief Thoughts Of Sexual Activity With A Sleeping Partner', 'Rough Sex', 'Brief Mention Of Harry With A Woman (Past Relationship)', 'Mentions Of Dubious Consent In Connection With Sex Work', 'Community: hd_erised', 'Inexperienced Harry', 'Top Harry Potter', 'House Elves']",Harry’s not the kind of person who pays for sex. He really isn’t. Until he is.,English,65214,6/6,811,8222,2127,144615
